"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","95-99 years","95-99",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","100+ years","100+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Feb., 2017","2017/02","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","5-9 years","5-9",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","10-14 years","10-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","15-19 years","15-19",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","20-24 years","20-24",24,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","25-29 years","25-29",53,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","30-34 years","30-34",59,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","35-39 years","35-39",59,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","40-44 years","40-44",35,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","45-49 years","45-49",43,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","50-54 years","50-54",54,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","55-59 years","55-59",38,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","60-64 years ","60-64",19,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","65-69 years","65-69",13,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","70-74 years","70-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","75-79 years","75-79",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","80-84 years","80-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","85-89 years","85-89",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2017","2017","Mar., 2017","2017/03","90-94 years","90-94",Suppressed,Not Applicable,Not Applicable
