"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2006","2006","Jan., 2006","2006/01","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jan., 2006","2006/01","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jan., 2006","2006/01","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jan., 2006","2006/01","15-24 years","15-24",13,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jan., 2006","2006/01","25-34 years","25-34",27,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jan., 2006","2006/01","35-44 years","35-44",31,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jan., 2006","2006/01","45-54 years","45-54",45,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jan., 2006","2006/01","55-64 years","55-64",13,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jan., 2006","2006/01","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jan., 2006","2006/01","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jan., 2006","2006/01","85+ years","85+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jan., 2006","2006/01","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Feb., 2006","2006/02","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Feb., 2006","2006/02","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Feb., 2006","2006/02","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Feb., 2006","2006/02","15-24 years","15-24",13,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Feb., 2006","2006/02","25-34 years","25-34",26,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Feb., 2006","2006/02","35-44 years","35-44",42,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Feb., 2006","2006/02","45-54 years","45-54",58,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Feb., 2006","2006/02","55-64 years","55-64",11,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Feb., 2006","2006/02","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Feb., 2006","2006/02","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Feb., 2006","2006/02","85+ years","85+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Feb., 2006","2006/02","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Mar., 2006","2006/03","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Mar., 2006","2006/03","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Mar., 2006","2006/03","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Mar., 2006","2006/03","15-24 years","15-24",18,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Mar., 2006","2006/03","25-34 years","25-34",40,Not Applicable,Not Applicable
