"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","Census Division","Census Division Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"< 1 year","1","Division 1: New England","CENS-D1","1999","1999",0,166332,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2000","2000",0,166766,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2001","2001",0,170976,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2002","2002",0,167980,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2003","2003",0,167816,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2004","2004",Suppressed,166456,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 1: New England","CENS-D1","2005","2005",0,161911,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2006","2006",0,161493,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2007","2007",0,162528,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2008","2008",Suppressed,159788,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 1: New England","CENS-D1","2009","2009",Suppressed,154638,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 1: New England","CENS-D1","2010","2010",0,152547,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2011","2011",Suppressed,153390,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 1: New England","CENS-D1","2012","2012",0,150908,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2013","2013",0,153374,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2014","2014",0,152245,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2015","2015",Suppressed,152292,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 1: New England","CENS-D1","2016","2016",0,150186,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2017","2017",Suppressed,148530,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 1: New England","CENS-D1","2018","2018",0,146715,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2019","2019",0,145600,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 1: New England","CENS-D1","2020","2020",Suppressed,143118,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","1999","1999",0,494129,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2000","2000",0,495620,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2001","2001",0,509448,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2002","2002",0,500379,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2003","2003",0,503031,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2004","2004",0,502959,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2005","2005",Suppressed,488526,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2006","2006",Suppressed,487191,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2007","2007",0,498648,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2008","2008",Suppressed,497833,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2009","2009",0,487475,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2010","2010",0,478408,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2011","2011",Suppressed,489769,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2012","2012",Suppressed,480702,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2013","2013",Suppressed,487035,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2014","2014",Suppressed,485846,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2015","2015",Suppressed,484040,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2016","2016",Suppressed,476454,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2017","2017",Suppressed,474914,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2018","2018",Suppressed,463693,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2019","2019",Suppressed,458101,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 2: Middle Atlantic","CENS-D2","2020","2020",Suppressed,453533,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","1999","1999",Suppressed,601633,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2000","2000",0,605020,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 3: East North Central","CENS-D3","2001","2001",Suppressed,625100,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2002","2002",0,605169,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 3: East North Central","CENS-D3","2003","2003",Suppressed,603296,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2004","2004",0,608531,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 3: East North Central","CENS-D3","2005","2005",Suppressed,594433,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2006","2006",Suppressed,596905,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2007","2007",0,603996,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 3: East North Central","CENS-D3","2008","2008",Suppressed,593113,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2009","2009",Suppressed,578934,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2010","2010",0,570022,Unreliable,0.0,0.0,0.0
,"< 1 year","1","Division 3: East North Central","CENS-D3","2011","2011",Suppressed,571733,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2012","2012",Suppressed,556664,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Division 3: East North Central","CENS-D3","2013","2013",Suppressed,556371,Suppressed,Suppressed,Suppressed,Suppressed
