"Notes","Census Region","Census Region Code","Year","Year Code","Month","Month Code","Single-Year Ages","Single-Year Ages Code",Deaths,Population,Crude Rate
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","50 years","50",280,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","51 years","51",331,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","52 years","52",310,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","53 years","53",312,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","54 years","54",325,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","55 years","55",363,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","56 years","56",427,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","57 years","57",363,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","58 years","58",376,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","59 years","59",401,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","60 years","60",397,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","61 years","61",465,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","62 years","62",490,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","63 years","63",545,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","64 years","64",581,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","65 years","65",577,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","66 years","66",608,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","67 years","67",638,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","68 years","68",752,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","69 years","69",900,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","70 years","70",957,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","71 years","71",983,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","72 years","72",1113,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","73 years","73",1094,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","74 years","74",1200,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","75 years","75",1306,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","76 years","76",1350,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","77 years","77",1480,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","78 years","78",1498,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","79 years","79",1471,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","80 years","80",1681,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","81 years","81",1620,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","82 years","82",1621,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","83 years","83",1648,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","84 years","84",1723,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","85 years","85",1627,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","86 years","86",1739,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","87 years","87",1547,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Jan., 1999","1999/01","88 years","88",1451,Not Applicable,Not Applicable
