Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,40-44 years,40-44,Male,M,480,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,45-49 years,45-49,Female,F,388,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,45-49 years,45-49,Male,M,668,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,50-54 years,50-54,Female,F,528,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,50-54 years,50-54,Male,M,822,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,15-19 years,15-19,Female,F,44,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,15-19 years,15-19,Male,M,93,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,20-24 years,20-24,Female,F,43,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,20-24 years,20-24,Male,M,154,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,25-29 years,25-29,Female,F,52,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,25-29 years,25-29,Male,M,161,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,30-34 years,30-34,Female,F,113,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,30-34 years,30-34,Male,M,203,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,35-39 years,35-39,Female,F,188,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,35-39 years,35-39,Male,M,321,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,40-44 years,40-44,Female,F,268,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,40-44 years,40-44,Male,M,491,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,45-49 years,45-49,Female,F,388,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,45-49 years,45-49,Male,M,617,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,50-54 years,50-54,Female,F,491,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,50-54 years,50-54,Male,M,736,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,15-19 years,15-19,Female,F,53,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,15-19 years,15-19,Male,M,131,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,20-24 years,20-24,Female,F,43,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,20-24 years,20-24,Male,M,161,Not Applicable,Not Applicable
