Notes,Census Division,Census Division Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jan., 2001",2001/01,25-29 years,25-29,Female,F,99,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jan., 2001",2001/01,25-29 years,25-29,Male,M,199,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jan., 2001",2001/01,30-34 years,30-34,Female,F,138,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jan., 2001",2001/01,30-34 years,30-34,Male,M,307,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jan., 2001",2001/01,35-39 years,35-39,Female,F,277,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jan., 2001",2001/01,35-39 years,35-39,Male,M,459,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jan., 2001",2001/01,40-44 years,40-44,Female,F,403,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jan., 2001",2001/01,40-44 years,40-44,Male,M,656,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jan., 2001",2001/01,45-49 years,45-49,Female,F,520,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jan., 2001",2001/01,45-49 years,45-49,Male,M,880,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jan., 2001",2001/01,50-54 years,50-54,Female,F,701,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jan., 2001",2001/01,50-54 years,50-54,Male,M,1114,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,15-19 years,15-19,Female,F,55,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,15-19 years,15-19,Male,M,133,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,20-24 years,20-24,Female,F,78,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,20-24 years,20-24,Male,M,190,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,25-29 years,25-29,Female,F,72,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,25-29 years,25-29,Male,M,198,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,30-34 years,30-34,Female,F,130,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,30-34 years,30-34,Male,M,268,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,35-39 years,35-39,Female,F,210,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,35-39 years,35-39,Male,M,396,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,40-44 years,40-44,Female,F,393,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,40-44 years,40-44,Male,M,559,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,45-49 years,45-49,Female,F,456,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,45-49 years,45-49,Male,M,807,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,50-54 years,50-54,Female,F,611,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Feb., 2001",2001/02,50-54 years,50-54,Male,M,933,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,15-19 years,15-19,Female,F,47,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,15-19 years,15-19,Male,M,150,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,20-24 years,20-24,Female,F,53,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,20-24 years,20-24,Male,M,215,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,25-29 years,25-29,Female,F,114,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,25-29 years,25-29,Male,M,207,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,30-34 years,30-34,Female,F,142,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,30-34 years,30-34,Male,M,254,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,35-39 years,35-39,Female,F,212,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,35-39 years,35-39,Male,M,402,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,40-44 years,40-44,Female,F,410,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,40-44 years,40-44,Male,M,588,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,45-49 years,45-49,Female,F,480,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,45-49 years,45-49,Male,M,808,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,50-54 years,50-54,Female,F,622,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Mar., 2001",2001/03,50-54 years,50-54,Male,M,992,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,15-19 years,15-19,Female,F,66,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,15-19 years,15-19,Male,M,167,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,20-24 years,20-24,Female,F,88,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,20-24 years,20-24,Male,M,225,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,25-29 years,25-29,Female,F,88,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,25-29 years,25-29,Male,M,219,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,30-34 years,30-34,Female,F,144,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,30-34 years,30-34,Male,M,248,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,35-39 years,35-39,Female,F,248,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,35-39 years,35-39,Male,M,418,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,40-44 years,40-44,Female,F,333,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,40-44 years,40-44,Male,M,556,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,45-49 years,45-49,Female,F,431,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,45-49 years,45-49,Male,M,802,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,50-54 years,50-54,Female,F,590,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Apr., 2001",2001/04,50-54 years,50-54,Male,M,993,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,15-19 years,15-19,Female,F,64,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,15-19 years,15-19,Male,M,168,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,20-24 years,20-24,Female,F,85,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,20-24 years,20-24,Male,M,272,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,25-29 years,25-29,Female,F,98,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,25-29 years,25-29,Male,M,220,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,30-34 years,30-34,Female,F,152,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,30-34 years,30-34,Male,M,264,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,35-39 years,35-39,Female,F,259,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,35-39 years,35-39,Male,M,390,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,40-44 years,40-44,Female,F,383,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,40-44 years,40-44,Male,M,677,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,45-49 years,45-49,Female,F,455,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,45-49 years,45-49,Male,M,815,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,50-54 years,50-54,Female,F,608,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"May, 2001",2001/05,50-54 years,50-54,Male,M,958,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,15-19 years,15-19,Female,F,60,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,15-19 years,15-19,Male,M,161,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,20-24 years,20-24,Female,F,77,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,20-24 years,20-24,Male,M,244,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,25-29 years,25-29,Female,F,76,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,25-29 years,25-29,Male,M,267,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,30-34 years,30-34,Female,F,117,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,30-34 years,30-34,Male,M,239,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,35-39 years,35-39,Female,F,259,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,35-39 years,35-39,Male,M,408,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,40-44 years,40-44,Female,F,337,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,40-44 years,40-44,Male,M,579,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,45-49 years,45-49,Female,F,436,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,45-49 years,45-49,Male,M,807,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,50-54 years,50-54,Female,F,578,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jun., 2001",2001/06,50-54 years,50-54,Male,M,1020,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,15-19 years,15-19,Female,F,64,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,15-19 years,15-19,Male,M,159,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,20-24 years,20-24,Female,F,80,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,20-24 years,20-24,Male,M,272,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,25-29 years,25-29,Female,F,90,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,25-29 years,25-29,Male,M,227,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,30-34 years,30-34,Female,F,144,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,30-34 years,30-34,Male,M,252,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,35-39 years,35-39,Female,F,233,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,35-39 years,35-39,Male,M,401,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,40-44 years,40-44,Female,F,350,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,40-44 years,40-44,Male,M,603,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,45-49 years,45-49,Female,F,421,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,45-49 years,45-49,Male,M,808,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,50-54 years,50-54,Female,F,573,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Jul., 2001",2001/07,50-54 years,50-54,Male,M,952,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,15-19 years,15-19,Female,F,62,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,15-19 years,15-19,Male,M,186,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,20-24 years,20-24,Female,F,80,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,20-24 years,20-24,Male,M,274,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,25-29 years,25-29,Female,F,83,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,25-29 years,25-29,Male,M,239,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,30-34 years,30-34,Female,F,151,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,30-34 years,30-34,Male,M,275,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,35-39 years,35-39,Female,F,247,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,35-39 years,35-39,Male,M,413,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,40-44 years,40-44,Female,F,383,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,40-44 years,40-44,Male,M,598,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,45-49 years,45-49,Female,F,483,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,45-49 years,45-49,Male,M,801,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,50-54 years,50-54,Female,F,579,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Aug., 2001",2001/08,50-54 years,50-54,Male,M,1045,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,15-19 years,15-19,Female,F,48,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,15-19 years,15-19,Male,M,150,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,20-24 years,20-24,Female,F,64,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,20-24 years,20-24,Male,M,241,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,25-29 years,25-29,Female,F,105,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,25-29 years,25-29,Male,M,219,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,30-34 years,30-34,Female,F,125,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,30-34 years,30-34,Male,M,295,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,35-39 years,35-39,Female,F,262,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,35-39 years,35-39,Male,M,411,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,40-44 years,40-44,Female,F,369,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,40-44 years,40-44,Male,M,596,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,45-49 years,45-49,Female,F,438,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,45-49 years,45-49,Male,M,794,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,50-54 years,50-54,Female,F,594,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Sep., 2001",2001/09,50-54 years,50-54,Male,M,1013,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,15-19 years,15-19,Female,F,96,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,15-19 years,15-19,Male,M,153,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,20-24 years,20-24,Female,F,78,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,20-24 years,20-24,Male,M,250,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,25-29 years,25-29,Female,F,98,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,25-29 years,25-29,Male,M,225,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,30-34 years,30-34,Female,F,138,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,30-34 years,30-34,Male,M,264,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,35-39 years,35-39,Female,F,254,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,35-39 years,35-39,Male,M,474,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,40-44 years,40-44,Female,F,337,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,40-44 years,40-44,Male,M,632,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,45-49 years,45-49,Female,F,458,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,45-49 years,45-49,Male,M,829,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,50-54 years,50-54,Female,F,629,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Oct., 2001",2001/10,50-54 years,50-54,Male,M,1037,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,15-19 years,15-19,Female,F,51,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,15-19 years,15-19,Male,M,139,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,20-24 years,20-24,Female,F,69,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,20-24 years,20-24,Male,M,239,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,25-29 years,25-29,Female,F,96,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,25-29 years,25-29,Male,M,218,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,30-34 years,30-34,Female,F,157,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,30-34 years,30-34,Male,M,240,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,35-39 years,35-39,Female,F,218,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,35-39 years,35-39,Male,M,410,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,40-44 years,40-44,Female,F,359,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,40-44 years,40-44,Male,M,601,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,45-49 years,45-49,Female,F,471,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,45-49 years,45-49,Male,M,819,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,50-54 years,50-54,Female,F,577,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Nov., 2001",2001/11,50-54 years,50-54,Male,M,981,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,15-19 years,15-19,Female,F,47,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,15-19 years,15-19,Male,M,173,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,20-24 years,20-24,Female,F,68,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,20-24 years,20-24,Male,M,244,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,25-29 years,25-29,Female,F,100,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,25-29 years,25-29,Male,M,226,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,30-34 years,30-34,Female,F,138,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,30-34 years,30-34,Male,M,267,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,35-39 years,35-39,Female,F,219,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,35-39 years,35-39,Male,M,421,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,40-44 years,40-44,Female,F,363,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,40-44 years,40-44,Male,M,614,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,45-49 years,45-49,Female,F,509,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,45-49 years,45-49,Male,M,821,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,50-54 years,50-54,Female,F,630,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2001,2001,"Dec., 2001",2001/12,50-54 years,50-54,Male,M,1088,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2002,2002,"Jan., 2002",2002/01,15-19 years,15-19,Female,F,67,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2002,2002,"Jan., 2002",2002/01,15-19 years,15-19,Male,M,136,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2002,2002,"Jan., 2002",2002/01,20-24 years,20-24,Female,F,69,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2002,2002,"Jan., 2002",2002/01,20-24 years,20-24,Male,M,206,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2002,2002,"Jan., 2002",2002/01,25-29 years,25-29,Female,F,102,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2002,2002,"Jan., 2002",2002/01,25-29 years,25-29,Male,M,206,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2002,2002,"Jan., 2002",2002/01,30-34 years,30-34,Female,F,151,Not Applicable,Not Applicable
,Division 5: South Atlantic,CENS-D5,2002,2002,"Jan., 2002",2002/01,30-34 years,30-34,Male,M,296,Not Applicable,Not Applicable
