Notes,Census Division,Census Division Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,50-54 years,50-54,Female,F,127,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,50-54 years,50-54,Male,M,200,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,15-19 years,15-19,Female,F,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,15-19 years,15-19,Male,M,16,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,20-24 years,20-24,Female,F,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,20-24 years,20-24,Male,M,38,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,25-29 years,25-29,Female,F,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,25-29 years,25-29,Male,M,31,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,30-34 years,30-34,Female,F,20,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,30-34 years,30-34,Male,M,45,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,35-39 years,35-39,Female,F,49,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,35-39 years,35-39,Male,M,75,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,40-44 years,40-44,Female,F,58,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,40-44 years,40-44,Male,M,119,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,45-49 years,45-49,Female,F,92,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,45-49 years,45-49,Male,M,129,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,50-54 years,50-54,Female,F,111,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,50-54 years,50-54,Male,M,164,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,15-19 years,15-19,Female,F,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,15-19 years,15-19,Male,M,34,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,20-24 years,20-24,Female,F,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,20-24 years,20-24,Male,M,43,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,25-29 years,25-29,Female,F,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,25-29 years,25-29,Male,M,33,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,30-34 years,30-34,Female,F,26,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,30-34 years,30-34,Male,M,61,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,35-39 years,35-39,Female,F,44,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,35-39 years,35-39,Male,M,82,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,40-44 years,40-44,Female,F,58,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,40-44 years,40-44,Male,M,112,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,45-49 years,45-49,Female,F,82,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,45-49 years,45-49,Male,M,134,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,50-54 years,50-54,Female,F,119,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,50-54 years,50-54,Male,M,188,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,15-19 years,15-19,Female,F,13,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,15-19 years,15-19,Male,M,17,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,20-24 years,20-24,Female,F,11,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,20-24 years,20-24,Male,M,40,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,25-29 years,25-29,Female,F,14,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,25-29 years,25-29,Male,M,39,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,30-34 years,30-34,Female,F,22,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,30-34 years,30-34,Male,M,54,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,35-39 years,35-39,Female,F,44,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,35-39 years,35-39,Male,M,75,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,40-44 years,40-44,Female,F,51,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,40-44 years,40-44,Male,M,119,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,45-49 years,45-49,Female,F,81,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,45-49 years,45-49,Male,M,152,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,50-54 years,50-54,Female,F,108,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,50-54 years,50-54,Male,M,165,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,15-19 years,15-19,Female,F,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,15-19 years,15-19,Male,M,32,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,20-24 years,20-24,Female,F,20,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,20-24 years,20-24,Male,M,41,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,25-29 years,25-29,Female,F,11,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,25-29 years,25-29,Male,M,50,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,30-34 years,30-34,Female,F,30,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,30-34 years,30-34,Male,M,57,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,35-39 years,35-39,Female,F,65,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,35-39 years,35-39,Male,M,77,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,40-44 years,40-44,Female,F,61,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,40-44 years,40-44,Male,M,140,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,45-49 years,45-49,Female,F,79,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,45-49 years,45-49,Male,M,146,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,50-54 years,50-54,Female,F,107,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,50-54 years,50-54,Male,M,196,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,15-19 years,15-19,Female,F,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,15-19 years,15-19,Male,M,30,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,20-24 years,20-24,Female,F,13,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,20-24 years,20-24,Male,M,38,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,25-29 years,25-29,Female,F,13,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,25-29 years,25-29,Male,M,35,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,30-34 years,30-34,Female,F,21,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,30-34 years,30-34,Male,M,50,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,35-39 years,35-39,Female,F,51,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,35-39 years,35-39,Male,M,90,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,40-44 years,40-44,Female,F,72,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,40-44 years,40-44,Male,M,113,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,45-49 years,45-49,Female,F,65,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,45-49 years,45-49,Male,M,151,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,50-54 years,50-54,Female,F,115,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Aug., 1999",1999/08,50-54 years,50-54,Male,M,180,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,15-19 years,15-19,Female,F,13,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,15-19 years,15-19,Male,M,28,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,20-24 years,20-24,Female,F,18,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,20-24 years,20-24,Male,M,29,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,25-29 years,25-29,Female,F,14,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,25-29 years,25-29,Male,M,40,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,30-34 years,30-34,Female,F,22,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,30-34 years,30-34,Male,M,53,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,35-39 years,35-39,Female,F,52,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,35-39 years,35-39,Male,M,75,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,40-44 years,40-44,Female,F,55,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,40-44 years,40-44,Male,M,96,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,45-49 years,45-49,Female,F,78,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,45-49 years,45-49,Male,M,151,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,50-54 years,50-54,Female,F,111,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Sep., 1999",1999/09,50-54 years,50-54,Male,M,196,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,15-19 years,15-19,Female,F,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,15-19 years,15-19,Male,M,33,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,20-24 years,20-24,Female,F,16,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,20-24 years,20-24,Male,M,47,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,25-29 years,25-29,Female,F,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,25-29 years,25-29,Male,M,33,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,30-34 years,30-34,Female,F,32,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,30-34 years,30-34,Male,M,53,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,35-39 years,35-39,Female,F,47,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Oct., 1999",1999/10,35-39 years,35-39,Male,M,71,Not Applicable,Not Applicable
