Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate
,Census Region 1: Northeast,CENS-R1,2003,2003,"Sep., 2003",2003/09,401,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Oct., 2003",2003/10,387,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Nov., 2003",2003/11,395,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2003,2003,"Dec., 2003",2003/12,400,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Jan., 2004",2004/01,457,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Feb., 2004",2004/02,407,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Mar., 2004",2004/03,377,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Apr., 2004",2004/04,358,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"May, 2004",2004/05,407,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Jun., 2004",2004/06,377,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Jul., 2004",2004/07,357,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Aug., 2004",2004/08,419,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Sep., 2004",2004/09,404,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Oct., 2004",2004/10,398,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Nov., 2004",2004/11,365,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2004,2004,"Dec., 2004",2004/12,382,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Jan., 2005",2005/01,441,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Feb., 2005",2005/02,419,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Mar., 2005",2005/03,442,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Apr., 2005",2005/04,442,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"May, 2005",2005/05,460,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Jun., 2005",2005/06,452,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Jul., 2005",2005/07,466,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Aug., 2005",2005/08,434,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Sep., 2005",2005/09,423,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Oct., 2005",2005/10,440,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Nov., 2005",2005/11,441,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2005,2005,"Dec., 2005",2005/12,448,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Jan., 2006",2006/01,481,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Feb., 2006",2006/02,471,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Mar., 2006",2006/03,531,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Apr., 2006",2006/04,556,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"May, 2006",2006/05,559,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Jun., 2006",2006/06,582,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Jul., 2006",2006/07,616,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Aug., 2006",2006/08,574,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Sep., 2006",2006/09,563,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Oct., 2006",2006/10,526,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Nov., 2006",2006/11,495,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2006,2006,"Dec., 2006",2006/12,466,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Jan., 2007",2007/01,521,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Feb., 2007",2007/02,503,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Mar., 2007",2007/03,573,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Apr., 2007",2007/04,587,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"May, 2007",2007/05,567,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Jun., 2007",2007/06,537,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Jul., 2007",2007/07,553,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Aug., 2007",2007/08,554,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Sep., 2007",2007/09,489,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Oct., 2007",2007/10,490,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Nov., 2007",2007/11,502,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2007,2007,"Dec., 2007",2007/12,485,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Jan., 2008",2008/01,495,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Feb., 2008",2008/02,556,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Mar., 2008",2008/03,550,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Apr., 2008",2008/04,534,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"May, 2008",2008/05,594,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Jun., 2008",2008/06,513,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Jul., 2008",2008/07,531,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Aug., 2008",2008/08,512,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Sep., 2008",2008/09,480,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Oct., 2008",2008/10,519,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Nov., 2008",2008/11,520,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2008,2008,"Dec., 2008",2008/12,529,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2009,2009,"Jan., 2009",2009/01,525,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2009,2009,"Feb., 2009",2009/02,462,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2009,2009,"Mar., 2009",2009/03,482,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2009,2009,"Apr., 2009",2009/04,480,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2009,2009,"May, 2009",2009/05,492,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2009,2009,"Jun., 2009",2009/06,450,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2009,2009,"Jul., 2009",2009/07,497,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2009,2009,"Aug., 2009",2009/08,518,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2009,2009,"Sep., 2009",2009/09,505,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2009,2009,"Oct., 2009",2009/10,461,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2009,2009,"Nov., 2009",2009/11,473,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,2009,2009,"Dec., 2009",2009/12,503,Not Applicable,Not Applicable
