Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Feb., 1999",1999/02,Not Stated,NS,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,< 1 year,1,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,1-4 years,1-4,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,5-9 years,5-9,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,10-14 years,10-14,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,20-24 years,20-24,18,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,25-29 years,25-29,24,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,30-34 years,30-34,41,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,35-39 years,35-39,58,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,40-44 years,40-44,55,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,45-49 years,45-49,43,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,50-54 years,50-54,27,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,60-64 years,60-64,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,70-74 years,70-74,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,85-89 years,85-89,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,90-94 years,90-94,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,95-99 years,95-99,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,100+ years,100+,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Mar., 1999",1999/03,Not Stated,NS,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,< 1 year,1,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,1-4 years,1-4,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,5-9 years,5-9,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,10-14 years,10-14,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,20-24 years,20-24,28,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,25-29 years,25-29,27,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,30-34 years,30-34,36,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,35-39 years,35-39,53,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,40-44 years,40-44,57,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,45-49 years,45-49,54,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,50-54 years,50-54,27,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,55-59 years,55-59,10,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,60-64 years,60-64,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,70-74 years,70-74,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,85-89 years,85-89,10,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,90-94 years,90-94,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,95-99 years,95-99,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,100+ years,100+,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Apr., 1999",1999/04,Not Stated,NS,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,< 1 year,1,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,1-4 years,1-4,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,5-9 years,5-9,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,10-14 years,10-14,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,15-19 years,15-19,11,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,20-24 years,20-24,15,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,25-29 years,25-29,25,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,30-34 years,30-34,56,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,35-39 years,35-39,58,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,40-44 years,40-44,57,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,45-49 years,45-49,45,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,50-54 years,50-54,26,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,55-59 years,55-59,14,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,60-64 years,60-64,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,70-74 years,70-74,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"May, 1999",1999/05,85-89 years,85-89,Suppressed,Not Applicable,Not Applicable
