Notes,Census Division,Census Division Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,30-34 years,30-34,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,35-39 years,35-39,21,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,40-44 years,40-44,21,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,45-49 years,45-49,14,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,50-54 years,50-54,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,60-64 years ,60-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,70-74 years,70-74,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,85-89 years,85-89,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,90-94 years,90-94,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Feb., 1999",1999/02,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,10-14 years,14-Oct,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,20-24 years,20-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,25-29 years,25-29,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,30-34 years,30-34,11,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,35-39 years,35-39,20,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,40-44 years,40-44,17,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,45-49 years,45-49,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,50-54 years,50-54,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,60-64 years ,60-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,65-69 years,65-69,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,70-74 years,70-74,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,75-79 years,75-79,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,85-89 years,85-89,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,90-94 years,90-94,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Mar., 1999",1999/03,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,10-14 years,14-Oct,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,20-24 years,20-24,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,25-29 years,25-29,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,30-34 years,30-34,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,35-39 years,35-39,16,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,40-44 years,40-44,19,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,45-49 years,45-49,17,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,50-54 years,50-54,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,60-64 years ,60-64,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,70-74 years,70-74,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,85-89 years,85-89,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,90-94 years,90-94,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Apr., 1999",1999/04,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,10-14 years,14-Oct,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,20-24 years,20-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,25-29 years,25-29,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,30-34 years,30-34,17,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,35-39 years,35-39,15,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,40-44 years,40-44,14,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,45-49 years,45-49,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,50-54 years,50-54,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,60-64 years ,60-64,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,65-69 years,65-69,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,70-74 years,70-74,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,85-89 years,85-89,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,90-94 years,90-94,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"May, 1999",1999/05,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,10-14 years,14-Oct,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,15-19 years,15-19,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,20-24 years,20-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,25-29 years,25-29,11,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,30-34 years,30-34,17,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,35-39 years,35-39,16,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,40-44 years,40-44,22,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,45-49 years,45-49,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,50-54 years,50-54,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,60-64 years ,60-64,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,70-74 years,70-74,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,85-89 years,85-89,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,90-94 years,90-94,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,95-99 years,95-99,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,100+ years,100+,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jun., 1999",1999/06,Not Stated,NS,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,< 1 year,1,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,1-4 years,4-Jan,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,5-9 years,9-May,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,10-14 years,14-Oct,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,20-24 years,20-24,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,25-29 years,25-29,10,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,30-34 years,30-34,19,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,35-39 years,35-39,20,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,40-44 years,40-44,17,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,45-49 years,45-49,12,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,50-54 years,50-54,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,55-59 years,55-59,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,60-64 years ,60-64,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,65-69 years,65-69,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,70-74 years,70-74,0,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
,Division 1: New England,CENS-D1,1999,1999,"Jul., 1999",1999/07,80-84 years,80-84,0,Not Applicable,Not Applicable
