"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2010","2010","Apr., 2010","2010/04","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","5-9 years","5-9",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","10-14 years","10-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","15-19 years","15-19",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","20-24 years","20-24",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","25-29 years","25-29",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","30-34 years","30-34",20,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","35-39 years","35-39",12,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","40-44 years","40-44",21,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","45-49 years","45-49",32,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","50-54 years","50-54",16,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","55-59 years","55-59",12,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","60-64 years ","60-64",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","65-69 years","65-69",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","70-74 years","70-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","75-79 years","75-79",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","80-84 years","80-84",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","85-89 years","85-89",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","90-94 years","90-94",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","95-99 years","95-99",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","100+ years","100+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","May, 2010","2010/05","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","5-9 years","5-9",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2010","2010","Jun., 2010","2010/06","10-14 years","10-14",0,Not Applicable,Not Applicable
