"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2011","2011","May, 2011","2011/05","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","May, 2011","2011/05","15-24 years","15-24",10,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","May, 2011","2011/05","25-34 years","25-34",31,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","May, 2011","2011/05","35-44 years","35-44",30,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","May, 2011","2011/05","45-54 years","45-54",40,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","May, 2011","2011/05","55-64 years","55-64",21,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","May, 2011","2011/05","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","May, 2011","2011/05","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","May, 2011","2011/05","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","May, 2011","2011/05","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jun., 2011","2011/06","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jun., 2011","2011/06","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jun., 2011","2011/06","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jun., 2011","2011/06","15-24 years","15-24",15,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jun., 2011","2011/06","25-34 years","25-34",36,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jun., 2011","2011/06","35-44 years","35-44",36,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jun., 2011","2011/06","45-54 years","45-54",43,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jun., 2011","2011/06","55-64 years","55-64",23,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jun., 2011","2011/06","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jun., 2011","2011/06","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jun., 2011","2011/06","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jun., 2011","2011/06","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jul., 2011","2011/07","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jul., 2011","2011/07","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jul., 2011","2011/07","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jul., 2011","2011/07","15-24 years","15-24",18,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jul., 2011","2011/07","25-34 years","25-34",34,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jul., 2011","2011/07","35-44 years","35-44",38,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jul., 2011","2011/07","45-54 years","45-54",54,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jul., 2011","2011/07","55-64 years","55-64",23,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jul., 2011","2011/07","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jul., 2011","2011/07","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jul., 2011","2011/07","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Jul., 2011","2011/07","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Aug., 2011","2011/08","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Aug., 2011","2011/08","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Aug., 2011","2011/08","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Aug., 2011","2011/08","15-24 years","15-24",17,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Aug., 2011","2011/08","25-34 years","25-34",30,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Aug., 2011","2011/08","35-44 years","35-44",42,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Aug., 2011","2011/08","45-54 years","45-54",49,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Aug., 2011","2011/08","55-64 years","55-64",19,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Aug., 2011","2011/08","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Aug., 2011","2011/08","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Aug., 2011","2011/08","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2011","2011","Aug., 2011","2011/08","Not Stated","NS",0,Not Applicable,Not Applicable
