"Notes","Single-Year Ages","Single-Year Ages Code","Census Region","Census Region Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"14 years","14","Census Region 2: Midwest","CENS-R2",210,886932,23.7,20.5,26.9,1.6
,"14 years","14","Census Region 3: South","CENS-R3",376,1608988,23.4,21.0,25.7,1.2
,"14 years","14","Census Region 4: West","CENS-R4",194,1002471,19.4,16.6,22.1,1.4
,"15 years","15","Census Region 1: Northeast","CENS-R1",130,671784,19.4,16.0,22.7,1.7
,"15 years","15","Census Region 2: Midwest","CENS-R2",275,881085,31.2,27.5,34.9,1.9
,"15 years","15","Census Region 3: South","CENS-R3",499,1594836,31.3,28.5,34.0,1.4
,"15 years","15","Census Region 4: West","CENS-R4",282,993513,28.4,25.1,31.7,1.7
,"16 years","16","Census Region 1: Northeast","CENS-R1",167,672508,24.8,21.1,28.6,1.9
,"16 years","16","Census Region 2: Midwest","CENS-R2",370,878317,42.1,37.8,46.4,2.2
,"16 years","16","Census Region 3: South","CENS-R3",617,1596454,38.6,35.6,41.7,1.6
,"16 years","16","Census Region 4: West","CENS-R4",339,983465,34.5,30.8,38.1,1.9
,"17 years","17","Census Region 1: Northeast","CENS-R1",219,692139,31.6,27.5,35.8,2.1
,"17 years","17","Census Region 2: Midwest","CENS-R2",504,902422,55.8,51.0,60.7,2.5
,"17 years","17","Census Region 3: South","CENS-R3",847,1637013,51.7,48.3,55.2,1.8
,"17 years","17","Census Region 4: West","CENS-R4",458,1010362,45.3,41.2,49.5,2.1
,"18 years","18","Census Region 1: Northeast","CENS-R1",304,745421,40.8,36.2,45.4,2.3
,"18 years","18","Census Region 2: Midwest","CENS-R2",558,902189,61.8,56.7,67.0,2.6
,"18 years","18","Census Region 3: South","CENS-R3",1216,1649612,73.7,69.6,77.9,2.1
,"18 years","18","Census Region 4: West","CENS-R4",623,1022500,60.9,56.1,65.7,2.4
,"19 years","19","Census Region 1: Northeast","CENS-R1",340,748098,45.4,40.6,50.3,2.5
,"19 years","19","Census Region 2: Midwest","CENS-R2",650,914034,71.1,65.6,76.6,2.8
,"19 years","19","Census Region 3: South","CENS-R3",1321,1617473,81.7,77.3,86.1,2.2
,"19 years","19","Census Region 4: West","CENS-R4",661,983996,67.2,62.1,72.3,2.6
,"20 years","20","Census Region 1: Northeast","CENS-R1",449,741822,60.5,54.9,66.1,2.9
,"20 years","20","Census Region 2: Midwest","CENS-R2",691,921609,75.0,69.4,80.6,2.9
,"20 years","20","Census Region 3: South","CENS-R3",1373,1617957,84.9,80.4,89.3,2.3
,"20 years","20","Census Region 4: West","CENS-R4",760,992434,76.6,71.1,82.0,2.8
,"21 years","21","Census Region 1: Northeast","CENS-R1",479,735068,65.2,59.3,71.0,3.0
