"Notes","Single-Year Ages","Single-Year Ages Code","Census Region","Census Region Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"69 years","69","Census Region 4: West","CENS-R4",10757,727728,1478.2,1450.2,1506.1,14.3
,"70 years","70","Census Region 1: Northeast","CENS-R1",9288,558213,1663.9,1630.0,1697.7,17.3
,"70 years","70","Census Region 2: Midwest","CENS-R2",12991,660539,1966.7,1932.9,2000.5,17.3
,"70 years","70","Census Region 3: South","CENS-R3",24477,1212889,2018.1,1992.8,2043.4,12.9
,"70 years","70","Census Region 4: West","CENS-R4",11385,712825,1597.2,1567.8,1626.5,15.0
,"71 years","71","Census Region 1: Northeast","CENS-R1",10380,580940,1786.8,1752.4,1821.1,17.5
,"71 years","71","Census Region 2: Midwest","CENS-R2",14144,684033,2067.7,2033.7,2101.8,17.4
,"71 years","71","Census Region 3: South","CENS-R3",26686,1264331,2110.7,2085.4,2136.0,12.9
,"71 years","71","Census Region 4: West","CENS-R4",12615,731248,1725.1,1695.0,1755.2,15.4
,"72 years","72","Census Region 1: Northeast","CENS-R1",8933,424350,2105.1,2061.4,2148.8,22.3
,"72 years","72","Census Region 2: Midwest","CENS-R2",11765,489519,2403.4,2360.0,2446.8,22.2
,"72 years","72","Census Region 3: South","CENS-R3",22741,930267,2444.6,2412.8,2476.3,16.2
,"72 years","72","Census Region 4: West","CENS-R4",10504,548147,1916.3,1879.6,1952.9,18.7
,"73 years","73","Census Region 1: Northeast","CENS-R1",9110,412471,2208.6,2163.3,2254.0,23.1
,"73 years","73","Census Region 2: Midwest","CENS-R2",12313,478009,2575.9,2530.4,2621.4,23.2
,"73 years","73","Census Region 3: South","CENS-R3",23553,916382,2570.2,2537.4,2603.0,16.7
,"73 years","73","Census Region 4: West","CENS-R4",11057,537771,2056.1,2017.8,2094.4,19.6
,"74 years","74","Census Region 1: Northeast","CENS-R1",10112,399067,2533.9,2484.5,2583.3,25.2
,"74 years","74","Census Region 2: Midwest","CENS-R2",13227,467782,2827.6,2779.4,2875.8,24.6
,"74 years","74","Census Region 3: South","CENS-R3",25269,884658,2856.4,2821.1,2891.6,18.0
,"74 years","74","Census Region 4: West","CENS-R4",11982,511982,2340.3,2298.4,2382.2,21.4
,"75 years","75","Census Region 1: Northeast","CENS-R1",11226,414282,2709.7,2659.6,2759.9,25.6
,"75 years","75","Census Region 2: Midwest","CENS-R2",14819,482782,3069.5,3020.1,3118.9,25.2
,"75 years","75","Census Region 3: South","CENS-R3",27488,890702,3086.1,3049.6,3122.6,18.6
,"75 years","75","Census Region 4: West","CENS-R4",12991,505838,2568.2,2524.0,2612.4,22.5
,"76 years","76","Census Region 1: Northeast","CENS-R1",10578,355378,2976.5,2919.8,3033.3,28.9
,"76 years","76","Census Region 2: Midwest","CENS-R2",14539,419466,3466.1,3409.7,3522.4,28.7
,"76 years","76","Census Region 3: South","CENS-R3",26076,766450,3402.2,3360.9,3443.5,21.1
,"76 years","76","Census Region 4: West","CENS-R4",12172,436718,2787.2,2737.6,2836.7,25.3
,"77 years","77","Census Region 1: Northeast","CENS-R1",10668,316900,3366.4,3302.5,3430.2,32.6
,"77 years","77","Census Region 2: Midwest","CENS-R2",14264,377627,3777.3,3715.3,3839.3,31.6
,"77 years","77","Census Region 3: South","CENS-R3",25886,696512,3716.5,3671.2,3761.8,23.1
,"77 years","77","Census Region 4: West","CENS-R4",12199,395142,3087.2,3032.5,3142.0,28.0
,"78 years","78","Census Region 1: Northeast","CENS-R1",10568,297544,3551.7,3484.0,3619.5,34.5
,"78 years","78","Census Region 2: Midwest","CENS-R2",14284,350183,4079.0,4012.1,4145.9,34.1
,"78 years","78","Census Region 3: South","CENS-R3",25838,647957,3987.6,3939.0,4036.2,24.8
,"78 years","78","Census Region 4: West","CENS-R4",12498,370718,3371.3,3312.2,3430.4,30.2
,"79 years","79","Census Region 1: Northeast","CENS-R1",11325,277714,4077.9,4002.8,4153.0,38.3
,"79 years","79","Census Region 2: Midwest","CENS-R2",14892,329351,4521.6,4449.0,4594.2,37.1
,"79 years","79","Census Region 3: South","CENS-R3",26371,595509,4428.3,4374.9,4481.8,27.3
,"79 years","79","Census Region 4: West","CENS-R4",13063,340293,3838.8,3772.9,3904.6,33.6
,"80 years","80","Census Region 1: Northeast","CENS-R1",11573,265251,4363.0,4283.5,4442.5,40.6
,"80 years","80","Census Region 2: Midwest","CENS-R2",15650,311733,5020.3,4941.7,5099.0,40.1
,"80 years","80","Census Region 3: South","CENS-R3",27301,556893,4902.4,4844.2,4960.5,29.7
,"80 years","80","Census Region 4: West","CENS-R4",13463,317706,4237.6,4166.0,4309.1,36.5
,"81 years","81","Census Region 1: Northeast","CENS-R1",12159,242536,5013.3,4924.2,5102.4,45.5
,"81 years","81","Census Region 2: Midwest","CENS-R2",15834,282875,5597.5,5510.3,5684.7,44.5
,"81 years","81","Census Region 3: South","CENS-R3",27053,498466,5427.3,5362.6,5491.9,33.0
,"81 years","81","Census Region 4: West","CENS-R4",13538,287611,4707.1,4627.8,4786.3,40.5
,"82 years","82","Census Region 1: Northeast","CENS-R1",12736,228218,5580.6,5483.7,5677.6,49.5
,"82 years","82","Census Region 2: Midwest","CENS-R2",16484,266518,6184.9,6090.5,6279.4,48.2
,"82 years","82","Census Region 3: South","CENS-R3",28136,463910,6065.0,5994.1,6135.8,36.2
,"82 years","82","Census Region 4: West","CENS-R4",13934,265519,5247.8,5160.7,5335.0,44.5
,"83 years","83","Census Region 1: Northeast","CENS-R1",13137,215038,6109.2,6004.7,6213.6,53.3
,"83 years","83","Census Region 2: Midwest","CENS-R2",16894,249730,6764.9,6662.9,6866.9,52.0
,"83 years","83","Census Region 3: South","CENS-R3",28664,431821,6637.9,6561.1,6714.8,39.2
,"83 years","83","Census Region 4: West","CENS-R4",14478,247080,5859.6,5764.2,5955.1,48.7
,"84 years","84","Census Region 1: Northeast","CENS-R1",13333,190243,7008.4,6889.4,7127.4,60.7
,"84 years","84","Census Region 2: Midwest","CENS-R2",16684,217487,7671.3,7554.9,7787.7,59.4
,"84 years","84","Census Region 3: South","CENS-R3",27832,371980,7482.1,7394.2,7570.0,44.8
,"84 years","84","Census Region 4: West","CENS-R4",14577,216693,6727.0,6617.8,6836.2,55.7
,"85 years","85","Census Region 1: Northeast","CENS-R1",14149,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85 years","85","Census Region 2: Midwest","CENS-R2",17588,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85 years","85","Census Region 3: South","CENS-R3",28484,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85 years","85","Census Region 4: West","CENS-R4",14802,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"86 years","86","Census Region 1: Northeast","CENS-R1",14865,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"86 years","86","Census Region 2: Midwest","CENS-R2",18034,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"86 years","86","Census Region 3: South","CENS-R3",28395,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"86 years","86","Census Region 4: West","CENS-R4",15349,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"87 years","87","Census Region 1: Northeast","CENS-R1",15445,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"87 years","87","Census Region 2: Midwest","CENS-R2",18759,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"87 years","87","Census Region 3: South","CENS-R3",28279,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"87 years","87","Census Region 4: West","CENS-R4",15506,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"88 years","88","Census Region 1: Northeast","CENS-R1",15868,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"88 years","88","Census Region 2: Midwest","CENS-R2",18613,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"88 years","88","Census Region 3: South","CENS-R3",28689,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"88 years","88","Census Region 4: West","CENS-R4",15929,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"89 years","89","Census Region 1: Northeast","CENS-R1",15634,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"89 years","89","Census Region 2: Midwest","CENS-R2",18377,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"89 years","89","Census Region 3: South","CENS-R3",27104,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"89 years","89","Census Region 4: West","CENS-R4",15247,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90 years","90","Census Region 1: Northeast","CENS-R1",15503,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90 years","90","Census Region 2: Midwest","CENS-R2",18243,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90 years","90","Census Region 3: South","CENS-R3",25971,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90 years","90","Census Region 4: West","CENS-R4",15077,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"91 years","91","Census Region 1: Northeast","CENS-R1",14931,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"91 years","91","Census Region 2: Midwest","CENS-R2",17319,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"91 years","91","Census Region 3: South","CENS-R3",24388,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"91 years","91","Census Region 4: West","CENS-R4",14197,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"92 years","92","Census Region 1: Northeast","CENS-R1",13597,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"92 years","92","Census Region 2: Midwest","CENS-R2",15781,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"92 years","92","Census Region 3: South","CENS-R3",21611,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"92 years","92","Census Region 4: West","CENS-R4",13211,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"93 years","93","Census Region 1: Northeast","CENS-R1",12496,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"93 years","93","Census Region 2: Midwest","CENS-R2",14290,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"93 years","93","Census Region 3: South","CENS-R3",19663,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"93 years","93","Census Region 4: West","CENS-R4",12356,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"94 years","94","Census Region 1: Northeast","CENS-R1",11365,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"94 years","94","Census Region 2: Midwest","CENS-R2",12278,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"94 years","94","Census Region 3: South","CENS-R3",17015,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"94 years","94","Census Region 4: West","CENS-R4",10777,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95 years","95","Census Region 1: Northeast","CENS-R1",9600,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95 years","95","Census Region 2: Midwest","CENS-R2",10646,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95 years","95","Census Region 3: South","CENS-R3",13991,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95 years","95","Census Region 4: West","CENS-R4",9336,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"96 years","96","Census Region 1: Northeast","CENS-R1",8037,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"96 years","96","Census Region 2: Midwest","CENS-R2",8824,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"96 years","96","Census Region 3: South","CENS-R3",11634,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"96 years","96","Census Region 4: West","CENS-R4",7843,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"97 years","97","Census Region 1: Northeast","CENS-R1",6396,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"97 years","97","Census Region 2: Midwest","CENS-R2",7023,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"97 years","97","Census Region 3: South","CENS-R3",9299,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"97 years","97","Census Region 4: West","CENS-R4",6190,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"98 years","98","Census Region 1: Northeast","CENS-R1",4753,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"98 years","98","Census Region 2: Midwest","CENS-R2",5126,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"98 years","98","Census Region 3: South","CENS-R3",6803,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"98 years","98","Census Region 4: West","CENS-R4",4625,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"99 years","99","Census Region 1: Northeast","CENS-R1",3267,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"99 years","99","Census Region 2: Midwest","CENS-R2",3652,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"99 years","99","Census Region 3: South","CENS-R3",4684,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"99 years","99","Census Region 4: West","CENS-R4",3117,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100","Census Region 1: Northeast","CENS-R1",6959,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100","Census Region 2: Midwest","CENS-R2",7310,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100","Census Region 3: South","CENS-R3",9356,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100","Census Region 4: West","CENS-R4",6624,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","Census Region 1: Northeast","CENS-R1",83,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","Census Region 2: Midwest","CENS-R2",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","Census Region 3: South","CENS-R3",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","Census Region 4: West","CENS-R4",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"Year/Month: 2018"
"Group By: Single-Year Ages; Census Region"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Nov 24, 2025 5:50:29 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Nov 24, 2025 5:50:29 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Ages 85-100."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"4. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Confidence-Intervals."
"5. The method used to calculate standard errors is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Standard-Errors."
"6. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures"
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1"
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012."
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of"
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"7. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
