Census Division Code,Month Code,Sex Code,Age Group Code,Deaths,Year,Census Division,Age Groups
CENS-D1,2005/07,F,1,0,2005,Division 1: New England,< 1 year
CENS-D1,2005/08,F,1,0,2005,Division 1: New England,< 1 year
CENS-D1,2005/09,F,1,0,2005,Division 1: New England,< 1 year
CENS-D1,2005/10,F,1,0,2005,Division 1: New England,< 1 year
CENS-D1,2005/11,F,1,0,2005,Division 1: New England,< 1 year
CENS-D1,2005/12,F,1,Suppressed,2005,Division 1: New England,< 1 year
CENS-D1,2006/01,F,1,0,2006,Division 1: New England,< 1 year
CENS-D1,2006/02,F,1,0,2006,Division 1: New England,< 1 year
CENS-D1,2006/03,F,1,0,2006,Division 1: New England,< 1 year
CENS-D1,2006/04,F,1,0,2006,Division 1: New England,< 1 year
CENS-D1,2006/05,F,1,0,2006,Division 1: New England,< 1 year
CENS-D1,2006/06,F,1,0,2006,Division 1: New England,< 1 year
CENS-D1,2006/07,F,1,0,2006,Division 1: New England,< 1 year
CENS-D1,2006/08,F,1,0,2006,Division 1: New England,< 1 year
CENS-D1,2006/09,F,1,0,2006,Division 1: New England,< 1 year
CENS-D1,2006/10,F,1,0,2006,Division 1: New England,< 1 year
CENS-D1,2006/11,F,1,0,2006,Division 1: New England,< 1 year
CENS-D1,2006/12,F,1,0,2006,Division 1: New England,< 1 year
CENS-D1,2007/01,F,1,0,2007,Division 1: New England,< 1 year
CENS-D1,2007/02,F,1,0,2007,Division 1: New England,< 1 year
CENS-D1,2007/03,F,1,0,2007,Division 1: New England,< 1 year
CENS-D1,2007/04,F,1,0,2007,Division 1: New England,< 1 year
CENS-D1,2007/05,F,1,0,2007,Division 1: New England,< 1 year
CENS-D1,2007/06,F,1,0,2007,Division 1: New England,< 1 year
CENS-D1,2007/07,F,1,0,2007,Division 1: New England,< 1 year
CENS-D1,2007/08,F,1,0,2007,Division 1: New England,< 1 year
CENS-D1,2007/09,F,1,0,2007,Division 1: New England,< 1 year
CENS-D1,2007/10,F,1,0,2007,Division 1: New England,< 1 year
CENS-D1,2007/11,F,1,0,2007,Division 1: New England,< 1 year
CENS-D1,2007/12,F,1,0,2007,Division 1: New England,< 1 year
