"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"10-14 years","10-14","2000","2000",13,20528072,Unreliable,0.0,0.1,0.0
,"10-14 years","10-14","2001","2001",16,20978678,Unreliable,0.0,0.1,0.0
,"10-14 years","10-14","2002","2002",17,21261421,Unreliable,0.0,0.1,0.0
,"10-14 years","10-14","2003","2003",12,21415353,Unreliable,0.0,0.1,0.0
,"10-14 years","10-14","2004","2004",28,21411680,0.1,0.1,0.2,0.0
,"10-14 years","10-14","2005","2005",17,21212579,Unreliable,0.0,0.1,0.0
,"10-14 years","10-14","2006","2006",26,21033138,0.1,0.1,0.2,0.0
,"10-14 years","10-14","2007","2007",33,20841042,0.2,0.1,0.2,0.0
,"10-14 years","10-14","2008","2008",31,20706655,0.1,0.1,0.2,0.0
,"10-14 years","10-14","2009","2009",21,20660564,0.1,0.1,0.2,0.0
,"10-14 years","10-14","2010","2010",31,20677194,0.1,0.1,0.2,0.0
,"10-14 years","10-14","2011","2011",21,20704852,0.1,0.1,0.2,0.0
,"10-14 years","10-14","2012","2012",18,20669218,Unreliable,0.1,0.1,0.0
,"10-14 years","10-14","2013","2013",15,20650454,Unreliable,0.0,0.1,0.0
,"10-14 years","10-14","2014","2014",18,20671506,Unreliable,0.1,0.1,0.0
,"10-14 years","10-14","2015","2015",20,20622330,0.1,0.1,0.1,0.0
,"10-14 years","10-14","2016","2016",23,20618233,0.1,0.1,0.2,0.0
,"10-14 years","10-14","2017","2017",31,20778454,0.1,0.1,0.2,0.0
,"10-14 years","10-14","2018","2018",19,20879527,Unreliable,0.1,0.1,0.0
,"10-14 years","10-14","2019","2019",21,20798268,0.1,0.1,0.2,0.0
,"10-14 years","10-14","2020","2020",50,20754423,0.2,0.2,0.3,0.0
,"15-19 years","15-19","1999","1999",157,20084602,0.8,0.7,0.9,0.1
,"15-19 years","15-19","2000","2000",189,20219890,0.9,0.8,1.1,0.1
,"15-19 years","15-19","2001","2001",263,20456284,1.3,1.1,1.4,0.1
,"15-19 years","15-19","2002","2002",316,20610370,1.5,1.4,1.7,0.1
,"15-19 years","15-19","2003","2003",373,20797166,1.8,1.6,2.0,0.1
,"15-19 years","15-19","2004","2004",454,21102552,2.2,2.0,2.3,0.1
,"15-19 years","15-19","2005","2005",437,21486214,2.0,1.8,2.2,0.1
,"15-19 years","15-19","2006","2006",535,21807709,2.5,2.2,2.7,0.1
,"15-19 years","15-19","2007","2007",587,22067816,2.7,2.4,2.9,0.1
,"15-19 years","15-19","2008","2008",599,22210880,2.7,2.5,2.9,0.1
,"15-19 years","15-19","2009","2009",551,22192810,2.5,2.3,2.7,0.1
,"15-19 years","15-19","2010","2010",550,22040343,2.5,2.3,2.7,0.1
,"15-19 years","15-19","2011","2011",556,21644043,2.6,2.4,2.8,0.1
,"15-19 years","15-19","2012","2012",424,21360702,2.0,1.8,2.2,0.1
,"15-19 years","15-19","2013","2013",422,21158964,2.0,1.8,2.2,0.1
,"15-19 years","15-19","2014","2014",416,21067647,2.0,1.8,2.2,0.1
,"15-19 years","15-19","2015","2015",506,21108903,2.4,2.2,2.6,0.1
,"15-19 years","15-19","2016","2016",586,21129999,2.8,2.5,3.0,0.1
,"15-19 years","15-19","2017","2017",507,21131660,2.4,2.2,2.6,0.1
,"15-19 years","15-19","2018","2018",512,21097221,2.4,2.2,2.6,0.1
,"15-19 years","15-19","2019","2019",561,21054570,2.7,2.4,2.9,0.1
