"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"65-69 years","65-69","2010","2010",256,12435263,2.1,1.8,2.3,0.1
,"65-69 years","65-69","2011","2011",351,12873788,2.7,2.4,3.0,0.1
,"65-69 years","65-69","2012","2012",413,13977353,3.0,2.7,3.2,0.1
,"65-69 years","65-69","2013","2013",481,14608717,3.3,3.0,3.6,0.2
,"65-69 years","65-69","2014","2014",616,15325266,4.0,3.7,4.3,0.2
,"65-69 years","65-69","2015","2015",758,16067468,4.7,4.4,5.1,0.2
,"65-69 years","65-69","2016","2016",900,16820083,5.4,5.0,5.7,0.2
,"65-69 years","65-69","2017","2017",1097,16836381,6.5,6.1,6.9,0.2
,"65-69 years","65-69","2018","2018",1306,17086893,7.6,7.2,8.1,0.2
,"65-69 years","65-69","2019","2019",1461,17455001,8.4,7.9,8.8,0.2
,"65-69 years","65-69","2020","2020",1949,17873667,10.9,10.4,11.4,0.2
,"70-74 years","70-74","1999","1999",33,8877411,0.4,0.3,0.5,0.1
,"70-74 years","70-74","2000","2000",36,8857441,0.4,0.3,0.6,0.1
,"70-74 years","70-74","2001","2001",39,8821946,0.4,0.3,0.6,0.1
,"70-74 years","70-74","2002","2002",50,8750054,0.6,0.4,0.8,0.1
,"70-74 years","70-74","2003","2003",57,8670119,0.7,0.5,0.9,0.1
,"70-74 years","70-74","2004","2004",63,8594104,0.7,0.6,0.9,0.1
,"70-74 years","70-74","2005","2005",73,8603070,0.8,0.7,1.1,0.1
,"70-74 years","70-74","2006","2006",77,8649826,0.9,0.7,1.1,0.1
,"70-74 years","70-74","2007","2007",94,8728492,1.1,0.9,1.3,0.1
,"70-74 years","70-74","2008","2008",99,8911332,1.1,0.9,1.4,0.1
,"70-74 years","70-74","2009","2009",127,9140722,1.4,1.1,1.6,0.1
,"70-74 years","70-74","2010","2010",118,9278166,1.3,1.0,1.5,0.1
,"70-74 years","70-74","2011","2011",111,9607950,1.2,0.9,1.4,0.1
,"70-74 years","70-74","2012","2012",134,10008039,1.3,1.1,1.6,0.1
,"70-74 years","70-74","2013","2013",199,10608049,1.9,1.6,2.1,0.1
,"70-74 years","70-74","2014","2014",245,11073024,2.2,1.9,2.5,0.1
,"70-74 years","70-74","2015","2015",208,11483049,1.8,1.6,2.1,0.1
,"70-74 years","70-74","2016","2016",313,11810247,2.7,2.4,2.9,0.1
,"70-74 years","70-74","2017","2017",345,12847065,2.7,2.4,3.0,0.1
,"70-74 years","70-74","2018","2018",424,13405423,3.2,2.9,3.5,0.2
,"70-74 years","70-74","2019","2019",516,14028432,3.7,3.4,4.0,0.2
,"70-74 years","70-74","2020","2020",605,14675731,4.1,3.8,4.5,0.2
,"75-79 years","75-79","1999","1999",30,7342606,0.4,0.3,0.6,0.1
,"75-79 years","75-79","2000","2000",18,7415813,Unreliable,0.1,0.4,0.1
,"75-79 years","75-79","2001","2001",35,7455413,0.5,0.3,0.7,0.1
,"75-79 years","75-79","2002","2002",40,7470461,0.5,0.4,0.7,0.1
,"75-79 years","75-79","2003","2003",38,7497842,0.5,0.4,0.7,0.1
,"75-79 years","75-79","2004","2004",51,7461399,0.7,0.5,0.9,0.1
,"75-79 years","75-79","2005","2005",49,7463609,0.7,0.5,0.9,0.1
,"75-79 years","75-79","2006","2006",45,7447034,0.6,0.4,0.8,0.1
,"75-79 years","75-79","2007","2007",47,7400363,0.6,0.5,0.8,0.1
,"75-79 years","75-79","2008","2008",51,7345743,0.7,0.5,0.9,0.1
,"75-79 years","75-79","2009","2009",78,7295064,1.1,0.8,1.3,0.1
,"75-79 years","75-79","2010","2010",57,7317795,0.8,0.6,1.0,0.1
,"75-79 years","75-79","2011","2011",49,7388687,0.7,0.5,0.9,0.1
,"75-79 years","75-79","2012","2012",87,7489583,1.2,0.9,1.4,0.1
,"75-79 years","75-79","2013","2013",76,7677881,1.0,0.8,1.2,0.1
,"75-79 years","75-79","2014","2014",97,7922324,1.2,1.0,1.5,0.1
,"75-79 years","75-79","2015","2015",105,8123833,1.3,1.0,1.5,0.1
,"75-79 years","75-79","2016","2016",111,8367895,1.3,1.1,1.6,0.1
,"75-79 years","75-79","2017","2017",145,8741261,1.7,1.4,1.9,0.1
,"75-79 years","75-79","2018","2018",156,9267066,1.7,1.4,1.9,0.1
,"75-79 years","75-79","2019","2019",193,9652665,2.0,1.7,2.3,0.1
,"75-79 years","75-79","2020","2020",177,9986833,1.8,1.5,2.0,0.1
,"80-84 years","80-84","1999","1999",24,4882308,0.5,0.3,0.7,0.1
,"80-84 years","80-84","2000","2000",18,4945367,Unreliable,0.2,0.6,0.1
,"80-84 years","80-84","2001","2001",19,5138205,Unreliable,0.2,0.6,0.1
,"80-84 years","80-84","2002","2002",20,5294403,0.4,0.2,0.6,0.1
,"80-84 years","80-84","2003","2003",31,5398596,0.6,0.4,0.8,0.1
,"80-84 years","80-84","2004","2004",28,5528504,0.5,0.3,0.7,0.1
,"80-84 years","80-84","2005","2005",38,5611193,0.7,0.5,0.9,0.1
,"80-84 years","80-84","2006","2006",55,5648117,1.0,0.7,1.3,0.1
,"80-84 years","80-84","2007","2007",45,5687076,0.8,0.6,1.1,0.1
,"80-84 years","80-84","2008","2008",45,5730359,0.8,0.6,1.1,0.1
,"80-84 years","80-84","2009","2009",39,5727711,0.7,0.5,0.9,0.1
,"80-84 years","80-84","2010","2010",46,5743327,0.8,0.6,1.1,0.1
,"80-84 years","80-84","2011","2011",51,5786543,0.9,0.7,1.2,0.1
,"80-84 years","80-84","2012","2012",40,5783051,0.7,0.5,0.9,0.1
,"80-84 years","80-84","2013","2013",43,5768638,0.7,0.5,1.0,0.1
,"80-84 years","80-84","2014","2014",44,5760366,0.8,0.6,1.0,0.1
,"80-84 years","80-84","2015","2015",58,5799341,1.0,0.8,1.3,0.1
,"80-84 years","80-84","2016","2016",61,5865639,1.0,0.8,1.3,0.1
,"80-84 years","80-84","2017","2017",62,5965290,1.0,0.8,1.3,0.1
,"80-84 years","80-84","2018","2018",66,6127308,1.1,0.8,1.4,0.1
,"80-84 years","80-84","2019","2019",72,6317207,1.1,0.9,1.4,0.1
,"80-84 years","80-84","2020","2020",77,6464714,1.2,0.9,1.5,0.1
,"85-89 years","85-89","1999","1999",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2000","2000",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2001","2001",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2002","2002",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2003","2003",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2004","2004",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2005","2005",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2006","2006",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2007","2007",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2008","2008",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2009","2009",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2010","2010",41,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2011","2011",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2012","2012",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2013","2013",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2014","2014",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2015","2015",41,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2016","2016",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2017","2017",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2018","2018",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2019","2019",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"85-89 years","85-89","2020","2020",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","1999","1999",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2000","2000",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2001","2001",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2002","2002",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2003","2003",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2004","2004",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2005","2005",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2006","2006",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2007","2007",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2008","2008",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2009","2009",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2010","2010",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2011","2011",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2012","2012",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2013","2013",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2014","2014",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2015","2015",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2016","2016",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2017","2017",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2018","2018",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2019","2019",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90-94 years","90-94","2020","2020",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","1999","1999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2000","2000",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2001","2001",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2002","2002",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2003","2003",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2004","2004",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2005","2005",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2006","2006",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2007","2007",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2008","2008",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2009","2009",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2010","2010",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2011","2011",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2012","2012",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2013","2013",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2014","2014",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2015","2015",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2016","2016",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2017","2017",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2018","2018",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2019","2019",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95-99 years","95-99","2020","2020",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","1999","1999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2000","2000",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2001","2001",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2002","2002",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2003","2003",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2004","2004",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2005","2005",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2006","2006",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2007","2007",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2008","2008",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2009","2009",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2010","2010",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2011","2011",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2012","2012",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2013","2013",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2014","2014",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2015","2015",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2016","2016",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2017","2017",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2018","2018",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2019","2019",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100+","2020","2020",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","1999","1999",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2000","2000",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2001","2001",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2002","2002",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2003","2003",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2004","2004",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2005","2005",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2006","2006",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2007","2007",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2008","2008",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2009","2009",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2010","2010",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2011","2011",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2012","2012",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2013","2013",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2014","2014",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2015","2015",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2016","2016",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2017","2017",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2018","2018",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2019","2019",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","2020","2020",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"Title: Five-Year-Age-Group"
"MCD - ICD-10 Codes: T40.0 (Opium); T40.1 (Heroin); T40.2 (Other opioids); T40.3 (Methadone); T40.4 (Other synthetic narcotics);"
"T40.6 (Other and unspecified narcotics)"
"UCD - ICD-10 Codes: X40 (Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics); X41"
"(Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not"
"elsewhere classified); X42 (Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not"
"elsewhere classified); X43 (Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system); X44"
"(Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances); X60 (Intentional"
"self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics); X61 (Intentional self-poisoning by and"
"exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified); X62"
"(Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified); X63"
"(Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system); X64 (Intentional"
"self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances); X85 (Assault by drugs,"
"medicaments and biological substances); Y10 (Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics,"
"undetermined intent); Y11 (Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic"
"drugs, not elsewhere classified, undetermined intent); Y12 (Poisoning by and exposure to narcotics and psychodysleptics"
"[hallucinogens], not elsewhere classified, undetermined intent); Y13 (Poisoning by and exposure to other drugs acting on the"
"autonomic nervous system, undetermined intent); Y14 (Poisoning by and exposure to other and unspecified drugs, medicaments and"
"biological substances, undetermined intent)"
"Group By: Five-Year Age Groups; Year"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Nov 7, 2025 10:45:52 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Nov 7, 2025 10:45:52 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Ages 85-100."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"3. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies."
"4. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#New-Jersey-Reporting-Anomalies."
"5. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#California-Reporting-Anomalies."
"6. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"7. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"8. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"9. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Confidence-Intervals."
"10. The method used to calculate standard errors is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Standard-Errors."
"11. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures"
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1"
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012."
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of"
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"12. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"13. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
