"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"25-29 years","25-29","Female","F","2009","2009",556,10466871,5.3,4.9,5.8,0.2
,"25-29 years","25-29","Female","F","2010","2010",633,10466258,6.0,5.6,6.5,0.2
,"25-29 years","25-29","Female","F","2011","2011",668,10518279,6.4,5.9,6.8,0.2
,"25-29 years","25-29","Female","F","2012","2012",728,10553440,6.9,6.4,7.4,0.3
,"25-29 years","25-29","Female","F","2013","2013",734,10620319,6.9,6.4,7.4,0.3
,"25-29 years","25-29","Female","F","2014","2014",891,10826549,8.2,7.7,8.8,0.3
,"25-29 years","25-29","Female","F","2015","2015",1026,11052155,9.3,8.7,9.9,0.3
,"25-29 years","25-29","Female","F","2016","2016",1506,11259410,13.4,12.7,14.1,0.3
,"25-29 years","25-29","Female","F","2017","2017",1702,11468230,14.8,14.1,15.5,0.4
,"25-29 years","25-29","Female","F","2018","2018",1705,11542918,14.8,14.1,15.5,0.4
,"25-29 years","25-29","Female","F","2019","2019",1702,11504446,14.8,14.1,15.5,0.4
,"25-29 years","25-29","Female","F","2020","2020",2209,11356117,19.5,18.6,20.3,0.4
,"25-29 years","25-29","Male","M","1999","1999",557,9879090,5.6,5.2,6.1,0.2
,"25-29 years","25-29","Male","M","2000","2000",538,9798760,5.5,5.0,6.0,0.2
,"25-29 years","25-29","Male","M","2001","2001",571,9516234,6.0,5.5,6.5,0.3
,"25-29 years","25-29","Male","M","2002","2002",688,9442754,7.3,6.7,7.8,0.3
,"25-29 years","25-29","Male","M","2003","2003",795,9464481,8.4,7.8,9.0,0.3
,"25-29 years","25-29","Male","M","2004","2004",948,9627975,9.8,9.2,10.5,0.3
,"25-29 years","25-29","Male","M","2005","2005",1057,9822166,10.8,10.1,11.4,0.3
,"25-29 years","25-29","Male","M","2006","2006",1328,10095589,13.2,12.4,13.9,0.4
,"25-29 years","25-29","Male","M","2007","2007",1487,10313439,14.4,13.7,15.2,0.4
,"25-29 years","25-29","Male","M","2008","2008",1584,10509136,15.1,14.3,15.8,0.4
,"25-29 years","25-29","Male","M","2009","2009",1732,10611357,16.3,15.6,17.1,0.4
,"25-29 years","25-29","Male","M","2010","2010",1719,10635591,16.2,15.4,16.9,0.4
,"25-29 years","25-29","Male","M","2011","2011",1901,10761515,17.7,16.9,18.5,0.4
,"25-29 years","25-29","Male","M","2012","2012",1847,10844886,17.0,16.3,17.8,0.4
,"25-29 years","25-29","Male","M","2013","2013",2086,10959879,19.0,18.2,19.8,0.4
,"25-29 years","25-29","Male","M","2014","2014",2487,11161389,22.3,21.4,23.2,0.4
,"25-29 years","25-29","Male","M","2015","2015",3055,11409399,26.8,25.8,27.7,0.5
,"25-29 years","25-29","Male","M","2016","2016",4108,11631474,35.3,34.2,36.4,0.6
,"25-29 years","25-29","Male","M","2017","2017",4671,11902230,39.2,38.1,40.4,0.6
,"25-29 years","25-29","Male","M","2018","2018",4440,12018838,36.9,35.9,38.0,0.6
,"25-29 years","25-29","Male","M","2019","2019",4465,12004570,37.2,36.1,38.3,0.6
,"25-29 years","25-29","Male","M","2020","2020",6039,11875126,50.9,49.6,52.1,0.7
,"30-34 years","30-34","Female","F","1999","1999",240,10249123,2.3,2.0,2.6,0.2
,"30-34 years","30-34","Female","F","2000","2000",237,10188619,2.3,2.0,2.6,0.2
,"30-34 years","30-34","Female","F","2001","2001",278,10263930,2.7,2.4,3.0,0.2
,"30-34 years","30-34","Female","F","2002","2002",353,10270193,3.4,3.1,3.8,0.2
,"30-34 years","30-34","Female","F","2003","2003",389,10193818,3.8,3.4,4.2,0.2
,"30-34 years","30-34","Female","F","2004","2004",408,10041145,4.1,3.7,4.5,0.2
,"30-34 years","30-34","Female","F","2005","2005",480,9835154,4.9,4.4,5.3,0.2
,"30-34 years","30-34","Female","F","2006","2006",478,9611918,5.0,4.5,5.4,0.2
,"30-34 years","30-34","Female","F","2007","2007",544,9559334,5.7,5.2,6.2,0.2
,"30-34 years","30-34","Female","F","2008","2008",548,9625879,5.7,5.2,6.2,0.2
,"30-34 years","30-34","Female","F","2009","2009",620,9800559,6.3,5.8,6.8,0.3
,"30-34 years","30-34","Female","F","2010","2010",707,9965599,7.1,6.6,7.6,0.3
,"30-34 years","30-34","Female","F","2011","2011",848,10228056,8.3,7.7,8.8,0.3
,"30-34 years","30-34","Female","F","2012","2012",889,10417089,8.5,8.0,9.1,0.3
,"30-34 years","30-34","Female","F","2013","2013",909,10582777,8.6,8.0,9.1,0.3
,"30-34 years","30-34","Female","F","2014","2014",1001,10719741,9.3,8.8,9.9,0.3
,"30-34 years","30-34","Female","F","2015","2015",1258,10785909,11.7,11.0,12.3,0.3
,"30-34 years","30-34","Female","F","2016","2016",1610,10818095,14.9,14.2,15.6,0.4
,"30-34 years","30-34","Female","F","2017","2017",1890,10883081,17.4,16.6,18.1,0.4
,"30-34 years","30-34","Female","F","2018","2018",1899,10944147,17.4,16.6,18.1,0.4
,"30-34 years","30-34","Female","F","2019","2019",2061,11076695,18.6,17.8,19.4,0.4
,"30-34 years","30-34","Female","F","2020","2020",2778,11269150,24.7,23.7,25.6,0.5
,"30-34 years","30-34","Male","M","1999","1999",717,10354226,6.9,6.4,7.4,0.3
,"30-34 years","30-34","Male","M","2000","2000",709,10321769,6.9,6.4,7.4,0.3
,"30-34 years","30-34","Male","M","2001","2001",741,10388245,7.1,6.6,7.6,0.3
,"30-34 years","30-34","Male","M","2002","2002",930,10388113,9.0,8.4,9.5,0.3
,"30-34 years","30-34","Male","M","2003","2003",971,10278392,9.4,8.9,10.0,0.3
,"30-34 years","30-34","Male","M","2004","2004",916,10118356,9.1,8.5,9.6,0.3
,"30-34 years","30-34","Male","M","2005","2005",1010,9888783,10.2,9.6,10.8,0.3
,"30-34 years","30-34","Male","M","2006","2006",1253,9673250,13.0,12.2,13.7,0.4
,"30-34 years","30-34","Male","M","2007","2007",1281,9611431,13.3,12.6,14.1,0.4
,"30-34 years","30-34","Male","M","2008","2008",1391,9678926,14.4,13.6,15.1,0.4
,"30-34 years","30-34","Male","M","2009","2009",1452,9844555,14.7,14.0,15.5,0.4
,"30-34 years","30-34","Male","M","2010","2010",1616,9996500,16.2,15.4,17.0,0.4
,"30-34 years","30-34","Male","M","2011","2011",1867,10282648,18.2,17.3,19.0,0.4
,"30-34 years","30-34","Male","M","2012","2012",1955,10493906,18.6,17.8,19.5,0.4
,"30-34 years","30-34","Male","M","2013","2013",2182,10681612,20.4,19.6,21.3,0.4
,"30-34 years","30-34","Male","M","2014","2014",2649,10808825,24.5,23.6,25.4,0.5
,"30-34 years","30-34","Male","M","2015","2015",3229,10889739,29.7,28.6,30.7,0.5
,"30-34 years","30-34","Male","M","2016","2016",4328,10968264,39.5,38.3,40.6,0.6
,"30-34 years","30-34","Male","M","2017","2017",4918,11089131,44.3,43.1,45.6,0.6
,"30-34 years","30-34","Male","M","2018","2018",4795,11191871,42.8,41.6,44.1,0.6
,"30-34 years","30-34","Male","M","2019","2019",5081,11354610,44.7,43.5,46.0,0.6
,"30-34 years","30-34","Male","M","2020","2020",7213,11569253,62.3,60.9,63.8,0.7
,"35-39 years","35-39","Female","F","1999","1999",375,11474154,3.3,2.9,3.6,0.2
,"35-39 years","35-39","Female","F","2000","2000",396,11387968,3.5,3.1,3.8,0.2
,"35-39 years","35-39","Female","F","2001","2001",464,11141510,4.2,3.8,4.5,0.2
,"35-39 years","35-39","Female","F","2002","2002",568,10903446,5.2,4.8,5.6,0.2
,"35-39 years","35-39","Female","F","2003","2003",579,10660101,5.4,5.0,5.9,0.2
,"35-39 years","35-39","Female","F","2004","2004",587,10453320,5.6,5.2,6.1,0.2
,"35-39 years","35-39","Female","F","2005","2005",638,10411620,6.1,5.7,6.6,0.2
,"35-39 years","35-39","Female","F","2006","2006",651,10489448,6.2,5.7,6.7,0.2
,"35-39 years","35-39","Female","F","2007","2007",709,10502839,6.8,6.3,7.2,0.3
,"35-39 years","35-39","Female","F","2008","2008",702,10437809,6.7,6.2,7.2,0.3
,"35-39 years","35-39","Female","F","2009","2009",691,10292169,6.7,6.2,7.2,0.3
,"35-39 years","35-39","Female","F","2010","2010",804,10137620,7.9,7.4,8.5,0.3
,"35-39 years","35-39","Female","F","2011","2011",824,9832998,8.4,7.8,9.0,0.3
,"35-39 years","35-39","Female","F","2012","2012",823,9773586,8.4,7.8,9.0,0.3
,"35-39 years","35-39","Female","F","2013","2013",885,9818501,9.0,8.4,9.6,0.3
,"35-39 years","35-39","Female","F","2014","2014",1081,9981814,10.8,10.2,11.5,0.3
,"35-39 years","35-39","Female","F","2015","2015",1261,10201161,12.4,11.7,13.0,0.3
,"35-39 years","35-39","Female","F","2016","2016",1641,10397463,15.8,15.0,16.5,0.4
,"35-39 years","35-39","Female","F","2017","2017",1851,10616012,17.4,16.6,18.2,0.4
,"35-39 years","35-39","Female","F","2018","2018",1910,10773397,17.7,16.9,18.5,0.4
,"35-39 years","35-39","Female","F","2019","2019",2021,10852580,18.6,17.8,19.4,0.4
,"35-39 years","35-39","Female","F","2020","2020",2751,10890716,25.3,24.3,26.2,0.5
,"35-39 years","35-39","Male","M","1999","1999",1106,11408395,9.7,9.1,10.3,0.3
,"35-39 years","35-39","Male","M","2000","2000",1067,11318696,9.4,8.9,10.0,0.3
,"35-39 years","35-39","Male","M","2001","2001",1099,11094408,9.9,9.3,10.5,0.3
,"35-39 years","35-39","Male","M","2002","2002",1287,10847772,11.9,11.2,12.5,0.3
,"35-39 years","35-39","Male","M","2003","2003",1246,10604058,11.8,11.1,12.4,0.3
,"35-39 years","35-39","Male","M","2004","2004",1139,10421329,10.9,10.3,11.6,0.3
,"35-39 years","35-39","Male","M","2005","2005",1116,10387033,10.7,10.1,11.4,0.3
,"35-39 years","35-39","Male","M","2006","2006",1344,10451785,12.9,12.2,13.5,0.4
,"35-39 years","35-39","Male","M","2007","2007",1366,10461052,13.1,12.4,13.8,0.4
,"35-39 years","35-39","Male","M","2008","2008",1457,10379654,14.0,13.3,14.8,0.4
,"35-39 years","35-39","Male","M","2009","2009",1417,10215627,13.9,13.1,14.6,0.4
,"35-39 years","35-39","Male","M","2010","2010",1446,10042022,14.4,13.7,15.1,0.4
,"35-39 years","35-39","Male","M","2011","2011",1548,9761311,15.9,15.1,16.6,0.4
,"35-39 years","35-39","Male","M","2012","2012",1638,9714613,16.9,16.0,17.7,0.4
,"35-39 years","35-39","Male","M","2013","2013",1721,9785269,17.6,16.8,18.4,0.4
,"35-39 years","35-39","Male","M","2014","2014",2125,9939836,21.4,20.5,22.3,0.5
,"35-39 years","35-39","Male","M","2015","2015",2729,10173424,26.8,25.8,27.8,0.5
,"35-39 years","35-39","Male","M","2016","2016",3765,10376442,36.3,35.1,37.4,0.6
,"35-39 years","35-39","Male","M","2017","2017",4457,10615985,42.0,40.8,43.2,0.6
,"35-39 years","35-39","Male","M","2018","2018",4541,10790190,42.1,40.9,43.3,0.6
,"35-39 years","35-39","Male","M","2019","2019",4945,10884941,45.4,44.2,46.7,0.6
,"35-39 years","35-39","Male","M","2020","2020",7053,10937588,64.5,63.0,66.0,0.8
,"40-44 years","40-44","Female","F","1999","1999",423,11195450,3.8,3.4,4.1,0.2
,"40-44 years","40-44","Female","F","2000","2000",477,11312761,4.2,3.8,4.6,0.2
,"40-44 years","40-44","Female","F","2001","2001",582,11500919,5.1,4.6,5.5,0.2
,"40-44 years","40-44","Female","F","2002","2002",803,11536009,7.0,6.5,7.4,0.2
,"40-44 years","40-44","Female","F","2003","2003",803,11546602,7.0,6.5,7.4,0.2
,"40-44 years","40-44","Female","F","2004","2004",910,11562414,7.9,7.4,8.4,0.3
,"40-44 years","40-44","Female","F","2005","2005",877,11453723,7.7,7.2,8.2,0.3
,"40-44 years","40-44","Female","F","2006","2006",957,11238163,8.5,8.0,9.1,0.3
,"40-44 years","40-44","Female","F","2007","2007",974,10999163,8.9,8.3,9.4,0.3
,"40-44 years","40-44","Female","F","2008","2008",992,10757924,9.2,8.6,9.8,0.3
,"40-44 years","40-44","Female","F","2009","2009",966,10549441,9.2,8.6,9.7,0.3
,"40-44 years","40-44","Female","F","2010","2010",949,10496987,9.0,8.5,9.6,0.3
,"40-44 years","40-44","Female","F","2011","2011",1078,10571486,10.2,9.6,10.8,0.3
,"40-44 years","40-44","Female","F","2012","2012",978,10569227,9.3,8.7,9.8,0.3
,"40-44 years","40-44","Female","F","2013","2013",1095,10488928,10.4,9.8,11.1,0.3
,"40-44 years","40-44","Female","F","2014","2014",1204,10372090,11.6,11.0,12.3,0.3
,"40-44 years","40-44","Female","F","2015","2015",1279,10185045,12.6,11.9,13.2,0.4
,"40-44 years","40-44","Female","F","2016","2016",1405,9919930,14.2,13.4,14.9,0.4
,"40-44 years","40-44","Female","F","2017","2017",1535,9890258,15.5,14.7,16.3,0.4
,"40-44 years","40-44","Female","F","2018","2018",1499,9916891,15.1,14.4,15.9,0.4
,"40-44 years","40-44","Female","F","2019","2019",1515,10014484,15.1,14.4,15.9,0.4
,"40-44 years","40-44","Female","F","2020","2020",2277,10199608,22.3,21.4,23.2,0.5
,"40-44 years","40-44","Male","M","1999","1999",1334,10998678,12.1,11.5,12.8,0.3
,"40-44 years","40-44","Male","M","2000","2000",1337,11129102,12.0,11.4,12.7,0.3
,"40-44 years","40-44","Male","M","2001","2001",1359,11314915,12.0,11.4,12.6,0.3
,"40-44 years","40-44","Male","M","2002","2002",1570,11353422,13.8,13.1,14.5,0.3
,"40-44 years","40-44","Male","M","2003","2003",1602,11343445,14.1,13.4,14.8,0.4
,"40-44 years","40-44","Male","M","2004","2004",1593,11363212,14.0,13.3,14.7,0.4
,"40-44 years","40-44","Male","M","2005","2005",1545,11253162,13.7,13.0,14.4,0.3
,"40-44 years","40-44","Male","M","2006","2006",1706,11064405,15.4,14.7,16.2,0.4
,"40-44 years","40-44","Male","M","2007","2007",1647,10833176,15.2,14.5,15.9,0.4
,"40-44 years","40-44","Male","M","2008","2008",1562,10617099,14.7,14.0,15.4,0.4
,"40-44 years","40-44","Male","M","2009","2009",1630,10430574,15.6,14.9,16.4,0.4
,"40-44 years","40-44","Male","M","2010","2010",1562,10393977,15.0,14.3,15.8,0.4
,"40-44 years","40-44","Male","M","2011","2011",1606,10462159,15.4,14.6,16.1,0.4
,"40-44 years","40-44","Male","M","2012","2012",1647,10458994,15.7,15.0,16.5,0.4
,"40-44 years","40-44","Male","M","2013","2013",1688,10359992,16.3,15.5,17.1,0.4
,"40-44 years","40-44","Male","M","2014","2014",1928,10219393,18.9,18.0,19.7,0.4
,"40-44 years","40-44","Male","M","2015","2015",2215,10030153,22.1,21.2,23.0,0.5
,"40-44 years","40-44","Male","M","2016","2016",2936,9776321,30.0,28.9,31.1,0.6
,"40-44 years","40-44","Male","M","2017","2017",3306,9753115,33.9,32.7,35.1,0.6
,"40-44 years","40-44","Male","M","2018","2018",3464,9797410,35.4,34.2,36.5,0.6
,"40-44 years","40-44","Male","M","2019","2019",3944,9907139,39.8,38.6,41.1,0.6
,"40-44 years","40-44","Male","M","2020","2020",5585,10108280,55.3,53.8,56.7,0.7
,"45-49 years","45-49","Female","F","1999","1999",348,9987734,3.5,3.1,3.9,0.2
,"45-49 years","45-49","Female","F","2000","2000",386,10202898,3.8,3.4,4.2,0.2
,"45-49 years","45-49","Female","F","2001","2001",480,10505949,4.6,4.2,5.0,0.2
,"45-49 years","45-49","Female","F","2002","2002",708,10785791,6.6,6.1,7.0,0.2
,"45-49 years","45-49","Female","F","2003","2003",793,11017265,7.2,6.7,7.7,0.3
,"45-49 years","45-49","Female","F","2004","2004",910,11184506,8.1,7.6,8.7,0.3
,"45-49 years","45-49","Female","F","2005","2005",989,11357088,8.7,8.2,9.3,0.3
,"45-49 years","45-49","Female","F","2006","2006",1164,11505455,10.1,9.5,10.7,0.3
,"45-49 years","45-49","Female","F","2007","2007",1253,11542213,10.9,10.3,11.5,0.3
,"45-49 years","45-49","Female","F","2008","2008",1283,11556983,11.1,10.5,11.7,0.3
,"45-49 years","45-49","Female","F","2009","2009",1349,11576574,11.7,11.0,12.3,0.3
,"45-49 years","45-49","Female","F","2010","2010",1266,11499506,11.0,10.4,11.6,0.3
,"45-49 years","45-49","Female","F","2011","2011",1367,11205304,12.2,11.6,12.8,0.3
,"45-49 years","45-49","Female","F","2012","2012",1324,10962854,12.1,11.4,12.7,0.3
,"45-49 years","45-49","Female","F","2013","2013",1255,10710188,11.7,11.1,12.4,0.3
,"45-49 years","45-49","Female","F","2014","2014",1354,10540579,12.8,12.2,13.5,0.3
,"45-49 years","45-49","Female","F","2015","2015",1393,10518915,13.2,12.5,13.9,0.4
,"45-49 years","45-49","Female","F","2016","2016",1641,10571668,15.5,14.8,16.3,0.4
,"45-49 years","45-49","Female","F","2017","2017",1737,10587683,16.4,15.6,17.2,0.4
,"45-49 years","45-49","Female","F","2018","2018",1580,10483140,15.1,14.3,15.8,0.4
,"45-49 years","45-49","Female","F","2019","2019",1572,10312396,15.2,14.5,16.0,0.4
,"45-49 years","45-49","Female","F","2020","2020",2027,10097702,20.1,19.2,20.9,0.4
,"45-49 years","45-49","Male","M","1999","1999",1026,9666473,10.6,10.0,11.3,0.3
,"45-49 years","45-49","Male","M","2000","2000",1099,9889506,11.1,10.5,11.8,0.3
,"45-49 years","45-49","Male","M","2001","2001",1180,10193034,11.6,10.9,12.2,0.3
,"45-49 years","45-49","Male","M","2002","2002",1365,10466497,13.0,12.3,13.7,0.4
,"45-49 years","45-49","Male","M","2003","2003",1546,10705411,14.4,13.7,15.2,0.4
,"45-49 years","45-49","Male","M","2004","2004",1538,10880756,14.1,13.4,14.8,0.4
,"45-49 years","45-49","Male","M","2005","2005",1687,11060083,15.3,14.5,16.0,0.4
,"45-49 years","45-49","Male","M","2006","2006",1864,11209831,16.6,15.9,17.4,0.4
,"45-49 years","45-49","Male","M","2007","2007",1767,11257548,15.7,15.0,16.4,0.4
,"45-49 years","45-49","Male","M","2008","2008",1866,11263990,16.6,15.8,17.3,0.4
,"45-49 years","45-49","Male","M","2009","2009",1904,11285671,16.9,16.1,17.6,0.4
,"45-49 years","45-49","Male","M","2010","2010",1793,11209085,16.0,15.3,16.7,0.4
,"45-49 years","45-49","Male","M","2011","2011",1832,10952701,16.7,16.0,17.5,0.4
,"45-49 years","45-49","Male","M","2012","2012",1833,10726625,17.1,16.3,17.9,0.4
,"45-49 years","45-49","Male","M","2013","2013",1867,10498118,17.8,17.0,18.6,0.4
,"45-49 years","45-49","Male","M","2014","2014",1989,10347463,19.2,18.4,20.1,0.4
,"45-49 years","45-49","Male","M","2015","2015",2319,10334929,22.4,21.5,23.4,0.5
,"45-49 years","45-49","Male","M","2016","2016",2853,10375955,27.5,26.5,28.5,0.5
,"45-49 years","45-49","Male","M","2017","2017",3343,10386175,32.2,31.1,33.3,0.6
,"45-49 years","45-49","Male","M","2018","2018",3246,10263995,31.6,30.5,32.7,0.6
,"45-49 years","45-49","Male","M","2019","2019",3384,10085355,33.6,32.4,34.7,0.6
,"45-49 years","45-49","Male","M","2020","2020",4681,9872904,47.4,46.1,48.8,0.7
,"50-54 years","50-54","Female","F","1999","1999",159,8644571,1.8,1.6,2.1,0.1
,"50-54 years","50-54","Female","F","2000","2000",202,8977824,2.2,1.9,2.6,0.2
,"50-54 years","50-54","Female","F","2001","2001",291,9541132,3.0,2.7,3.4,0.2
,"50-54 years","50-54","Female","F","2002","2002",409,9571812,4.3,3.9,4.7,0.2
,"50-54 years","50-54","Female","F","2003","2003",497,9759654,5.1,4.6,5.5,0.2
,"50-54 years","50-54","Female","F","2004","2004",569,9999623,5.7,5.2,6.2,0.2
,"50-54 years","50-54","Female","F","2005","2005",699,10257441,6.8,6.3,7.3,0.3
,"50-54 years","50-54","Female","F","2006","2006",873,10506120,8.3,7.8,8.9,0.3
,"50-54 years","50-54","Female","F","2007","2007",1027,10795749,9.5,8.9,10.1,0.3
,"50-54 years","50-54","Female","F","2008","2008",1088,11040553,9.9,9.3,10.4,0.3
,"50-54 years","50-54","Female","F","2009","2009",1176,11221280,10.5,9.9,11.1,0.3
,"50-54 years","50-54","Female","F","2010","2010",1268,11364851,11.2,10.5,11.8,0.3
,"50-54 years","50-54","Female","F","2011","2011",1297,11493652,11.3,10.7,11.9,0.3
,"50-54 years","50-54","Female","F","2012","2012",1361,11499014,11.8,11.2,12.5,0.3
,"50-54 years","50-54","Female","F","2013","2013",1457,11488260,12.7,12.0,13.3,0.3
,"50-54 years","50-54","Female","F","2014","2014",1524,11493228,13.3,12.6,13.9,0.3
,"50-54 years","50-54","Female","F","2015","2015",1679,11370470,14.8,14.1,15.5,0.4
,"50-54 years","50-54","Female","F","2016","2016",1775,11108872,16.0,15.2,16.7,0.4
,"50-54 years","50-54","Female","F","2017","2017",1881,10880912,17.3,16.5,18.1,0.4
,"50-54 years","50-54","Female","F","2018","2018",1668,10607357,15.7,15.0,16.5,0.4
,"50-54 years","50-54","Female","F","2019","2019",1675,10390540,16.1,15.3,16.9,0.4
,"50-54 years","50-54","Female","F","2020","2020",2047,10343739,19.8,18.9,20.6,0.4
,"50-54 years","50-54","Male","M","1999","1999",452,8279041,5.5,5.0,6.0,0.3
,"50-54 years","50-54","Male","M","2000","2000",496,8607724,5.8,5.3,6.3,0.3
,"50-54 years","50-54","Male","M","2001","2001",629,9146153,6.9,6.3,7.4,0.3
,"50-54 years","50-54","Male","M","2002","2002",877,9168094,9.6,8.9,10.2,0.3
,"50-54 years","50-54","Male","M","2003","2003",921,9337624,9.9,9.2,10.5,0.3
,"50-54 years","50-54","Male","M","2004","2004",984,9565045,10.3,9.6,10.9,0.3
,"50-54 years","50-54","Male","M","2005","2005",1162,9821292,11.8,11.2,12.5,0.3
,"50-54 years","50-54","Male","M","2006","2006",1393,10064753,13.8,13.1,14.6,0.4
,"50-54 years","50-54","Male","M","2007","2007",1428,10344429,13.8,13.1,14.5,0.4
,"50-54 years","50-54","Male","M","2008","2008",1637,10598921,15.4,14.7,16.2,0.4
,"50-54 years","50-54","Male","M","2009","2009",1593,10783563,14.8,14.0,15.5,0.4
,"50-54 years","50-54","Male","M","2010","2010",1614,10933274,14.8,14.0,15.5,0.4
,"50-54 years","50-54","Male","M","2011","2011",1762,11066546,15.9,15.2,16.7,0.4
,"50-54 years","50-54","Male","M","2012","2012",1781,11080245,16.1,15.3,16.8,0.4
,"50-54 years","50-54","Male","M","2013","2013",1890,11070966,17.1,16.3,17.8,0.4
,"50-54 years","50-54","Male","M","2014","2014",2120,11077581,19.1,18.3,20.0,0.4
,"50-54 years","50-54","Male","M","2015","2015",2204,10963847,20.1,19.3,20.9,0.4
,"50-54 years","50-54","Male","M","2016","2016",2805,10730184,26.1,25.2,27.1,0.5
,"50-54 years","50-54","Male","M","2017","2017",3246,10520182,30.9,29.8,31.9,0.5
,"50-54 years","50-54","Male","M","2018","2018",3071,10277207,29.9,28.8,30.9,0.5
,"50-54 years","50-54","Male","M","2019","2019",3384,10086611,33.5,32.4,34.7,0.6
,"50-54 years","50-54","Male","M","2020","2020",4503,10051788,44.8,43.5,46.1,0.7
,"55-59 years","55-59","Female","F","1999","1999",80,6765034,1.2,0.9,1.5,0.1
,"55-59 years","55-59","Female","F","2000","2000",121,6960508,1.7,1.4,2.0,0.2
,"55-59 years","55-59","Female","F","2001","2001",122,7209396,1.7,1.4,2.0,0.2
,"55-59 years","55-59","Female","F","2002","2002",170,7801990,2.2,1.9,2.5,0.2
,"55-59 years","55-59","Female","F","2003","2003",237,8141956,2.9,2.5,3.3,0.2
,"55-59 years","55-59","Female","F","2004","2004",293,8547949,3.4,3.0,3.8,0.2
,"55-59 years","55-59","Female","F","2005","2005",347,9007859,3.9,3.4,4.3,0.2
,"55-59 years","55-59","Female","F","2006","2006",494,9473065,5.2,4.8,5.7,0.2
,"55-59 years","55-59","Female","F","2007","2007",561,9509473,5.9,5.4,6.4,0.2
,"55-59 years","55-59","Female","F","2008","2008",632,9702238,6.5,6.0,7.0,0.3
,"55-59 years","55-59","Female","F","2009","2009",713,9946217,7.2,6.6,7.7,0.3
,"55-59 years","55-59","Female","F","2010","2010",781,10141157,7.7,7.2,8.2,0.3
,"55-59 years","55-59","Female","F","2011","2011",858,10439497,8.2,7.7,8.8,0.3
,"55-59 years","55-59","Female","F","2012","2012",920,10704108,8.6,8.0,9.2,0.3
,"55-59 years","55-59","Female","F","2013","2013",1078,10912048,9.9,9.3,10.5,0.3
,"55-59 years","55-59","Female","F","2014","2014",1238,11067461,11.2,10.6,11.8,0.3
,"55-59 years","55-59","Female","F","2015","2015",1388,11210375,12.4,11.7,13.0,0.3
,"55-59 years","55-59","Female","F","2016","2016",1586,11296702,14.0,13.3,14.7,0.4
,"55-59 years","55-59","Female","F","2017","2017",1694,11307436,15.0,14.3,15.7,0.4
,"55-59 years","55-59","Female","F","2018","2018",1639,11271658,14.5,13.8,15.2,0.4
,"55-59 years","55-59","Female","F","2019","2019",1677,11234902,14.9,14.2,15.6,0.4
,"55-59 years","55-59","Female","F","2020","2020",1978,11091171,17.8,17.0,18.6,0.4
,"55-59 years","55-59","Male","M","1999","1999",156,6319787,2.5,2.1,2.9,0.2
,"55-59 years","55-59","Male","M","2000","2000",167,6508729,2.6,2.2,3.0,0.2
,"55-59 years","55-59","Male","M","2001","2001",216,6759579,3.2,2.8,3.6,0.2
,"55-59 years","55-59","Male","M","2002","2002",285,7341077,3.9,3.4,4.3,0.2
,"55-59 years","55-59","Male","M","2003","2003",357,7672601,4.7,4.2,5.1,0.2
,"55-59 years","55-59","Male","M","2004","2004",432,8059227,5.4,4.9,5.9,0.3
,"55-59 years","55-59","Male","M","2005","2005",510,8495361,6.0,5.5,6.5,0.3
,"55-59 years","55-59","Male","M","2006","2006",667,8923795,7.5,6.9,8.0,0.3
,"55-59 years","55-59","Male","M","2007","2007",805,8945299,9.0,8.4,9.6,0.3
,"55-59 years","55-59","Male","M","2008","2008",900,9112330,9.9,9.2,10.5,0.3
,"55-59 years","55-59","Male","M","2009","2009",995,9334386,10.7,10.0,11.3,0.3
,"55-59 years","55-59","Male","M","2010","2010",1059,9523648,11.1,10.4,11.8,0.3
,"55-59 years","55-59","Male","M","2011","2011",1180,9816051,12.0,11.3,12.7,0.3
,"55-59 years","55-59","Male","M","2012","2012",1276,10068409,12.7,12.0,13.4,0.4
,"55-59 years","55-59","Male","M","2013","2013",1476,10282382,14.4,13.6,15.1,0.4
,"55-59 years","55-59","Male","M","2014","2014",1737,10443988,16.6,15.8,17.4,0.4
,"55-59 years","55-59","Male","M","2015","2015",1922,10597567,18.1,17.3,18.9,0.4
,"55-59 years","55-59","Male","M","2016","2016",2479,10683406,23.2,22.3,24.1,0.5
,"55-59 years","55-59","Male","M","2017","2017",2829,10700520,26.4,25.5,27.4,0.5
,"55-59 years","55-59","Male","M","2018","2018",2798,10669327,26.2,25.3,27.2,0.5
,"55-59 years","55-59","Male","M","2019","2019",3125,10642489,29.4,28.3,30.4,0.5
,"55-59 years","55-59","Male","M","2020","2020",4234,10511928,40.3,39.1,41.5,0.6
,"60-64 years ","60-64","Female","F","1999","1999",50,5613729,0.9,0.7,1.2,0.1
,"60-64 years ","60-64","Female","F","2000","2000",56,5668820,1.0,0.7,1.3,0.1
,"60-64 years ","60-64","Female","F","2001","2001",77,5834170,1.3,1.0,1.6,0.2
,"60-64 years ","60-64","Female","F","2002","2002",81,6051668,1.3,1.1,1.7,0.1
,"60-64 years ","60-64","Female","F","2003","2003",101,6377463,1.6,1.3,1.9,0.2
,"60-64 years ","60-64","Female","F","2004","2004",139,6637798,2.1,1.7,2.4,0.2
