"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"1-4 years","1-4","Female","F","2010","2010",Suppressed,7952058,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Female","F","2011","2011",12,7909731,Unreliable,0.1,0.3,0.0
,"1-4 years","1-4","Female","F","2012","2012",Suppressed,7856870,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Female","F","2013","2013",10,7790614,Unreliable,0.1,0.2,0.0
,"1-4 years","1-4","Female","F","2014","2014",16,7790662,Unreliable,0.1,0.3,0.1
,"1-4 years","1-4","Female","F","2015","2015",23,7786776,0.3,0.2,0.4,0.1
,"1-4 years","1-4","Female","F","2016","2016",15,7800517,Unreliable,0.1,0.3,0.0
,"1-4 years","1-4","Female","F","2017","2017",Suppressed,7818747,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Female","F","2018","2018",Suppressed,7798370,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Female","F","2019","2019",18,7719541,Unreliable,0.1,0.4,0.1
,"1-4 years","1-4","Female","F","2020","2020",26,7613266,0.3,0.2,0.5,0.1
"Total","1-4 years","1-4","Female","F",,,246,170430172,0.1,0.1,0.2,0.0
,"1-4 years","1-4","Male","M","1999","1999",Suppressed,7846168,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Male","M","2000","2000",Suppressed,7861716,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Male","M","2001","2001",11,7817023,Unreliable,0.1,0.3,0.0
,"1-4 years","1-4","Male","M","2002","2002",Suppressed,7913020,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Male","M","2003","2003",10,7979882,Unreliable,0.1,0.2,0.0
,"1-4 years","1-4","Male","M","2004","2004",12,8058452,Unreliable,0.1,0.3,0.0
,"1-4 years","1-4","Male","M","2005","2005",17,8127884,Unreliable,0.1,0.3,0.1
,"1-4 years","1-4","Male","M","2006","2006",14,8122053,Unreliable,0.1,0.3,0.0
,"1-4 years","1-4","Male","M","2007","2007",16,8164877,Unreliable,0.1,0.3,0.0
,"1-4 years","1-4","Male","M","2008","2008",14,8247098,Unreliable,0.1,0.3,0.0
,"1-4 years","1-4","Male","M","2009","2009",14,8297671,Unreliable,0.1,0.3,0.0
,"1-4 years","1-4","Male","M","2010","2010",17,8305151,Unreliable,0.1,0.3,0.0
,"1-4 years","1-4","Male","M","2011","2011",20,8255790,0.2,0.1,0.4,0.1
,"1-4 years","1-4","Male","M","2012","2012",17,8199397,Unreliable,0.1,0.3,0.1
,"1-4 years","1-4","Male","M","2013","2013",19,8135691,Unreliable,0.1,0.4,0.1
,"1-4 years","1-4","Male","M","2014","2014",18,8137871,Unreliable,0.1,0.3,0.1
,"1-4 years","1-4","Male","M","2015","2015",19,8142467,Unreliable,0.1,0.4,0.1
,"1-4 years","1-4","Male","M","2016","2016",23,8156375,0.3,0.2,0.4,0.1
,"1-4 years","1-4","Male","M","2017","2017",17,8180818,Unreliable,0.1,0.3,0.1
,"1-4 years","1-4","Male","M","2018","2018",18,8163697,Unreliable,0.1,0.3,0.1
,"1-4 years","1-4","Male","M","2019","2019",21,8074090,0.3,0.2,0.4,0.1
,"1-4 years","1-4","Male","M","2020","2020",32,7953016,0.4,0.3,0.6,0.1
"Total","1-4 years","1-4","Male","M",,,344,178140207,0.2,0.2,0.2,0.0
"Total","1-4 years","1-4",,,,,590,348570379,0.2,0.2,0.2,0.0
,"5-14 years","5-14","Female","F","1999","1999",Suppressed,19908282,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Female","F","2000","2000",Suppressed,20034103,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Female","F","2001","2001",Suppressed,20075767,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Female","F","2002","2002",Suppressed,20071157,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Female","F","2003","2003",Suppressed,20026122,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Female","F","2004","2004",13,19946937,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Female","F","2005","2005",11,19822282,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Female","F","2006","2006",13,19817117,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Female","F","2007","2007",16,19810765,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Female","F","2008","2008",14,19856962,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Female","F","2009","2009",Suppressed,19963476,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Female","F","2010","2010",Suppressed,20056351,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Female","F","2011","2011",10,20067831,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Female","F","2012","2012",Suppressed,20118347,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Female","F","2013","2013",11,20159538,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Female","F","2014","2014",12,20161424,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Female","F","2015","2015",14,20129986,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Female","F","2016","2016",22,20099377,0.1,0.1,0.2,0.0
,"5-14 years","5-14","Female","F","2017","2017",19,20109479,Unreliable,0.1,0.1,0.0
,"5-14 years","5-14","Female","F","2018","2018",13,20100339,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Female","F","2019","2019",18,20053140,Unreliable,0.1,0.1,0.0
,"5-14 years","5-14","Female","F","2020","2020",28,20050413,0.1,0.1,0.2,0.0
"Total","5-14 years","5-14","Female","F",,,269,440439195,0.1,0.1,0.1,0.0
,"5-14 years","5-14","Male","M","1999","1999",Suppressed,20911542,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Male","M","2000","2000",Suppressed,21043474,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Male","M","2001","2001",11,21076273,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Male","M","2002","2002",13,21062681,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Male","M","2003","2003",Suppressed,21010082,Suppressed,Suppressed,Suppressed,Suppressed
,"5-14 years","5-14","Male","M","2004","2004",17,20918980,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Male","M","2005","2005",14,20779364,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Male","M","2006","2006",18,20760709,Unreliable,0.1,0.1,0.0
,"5-14 years","5-14","Male","M","2007","2007",24,20744888,0.1,0.1,0.2,0.0
,"5-14 years","5-14","Male","M","2008","2008",24,20779295,0.1,0.1,0.2,0.0
,"5-14 years","5-14","Male","M","2009","2009",15,20879587,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Male","M","2010","2010",31,20969500,0.1,0.1,0.2,0.0
,"5-14 years","5-14","Male","M","2011","2011",17,20971217,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Male","M","2012","2012",18,21026407,Unreliable,0.1,0.1,0.0
,"5-14 years","5-14","Male","M","2013","2013",10,21061497,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Male","M","2014","2014",10,21029648,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Male","M","2015","2015",14,20979520,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Male","M","2016","2016",11,20948655,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Male","M","2017","2017",15,20973213,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Male","M","2018","2018",10,20974830,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Male","M","2019","2019",13,20941023,Unreliable,0.0,0.1,0.0
,"5-14 years","5-14","Male","M","2020","2020",33,20941721,0.2,0.1,0.2,0.0
"Total","5-14 years","5-14","Male","M",,,340,460784106,0.1,0.1,0.1,0.0
"Total","5-14 years","5-14",,,,,609,901223301,0.1,0.1,0.1,0.0
,"15-24 years","15-24","Female","F","1999","1999",141,18860184,0.7,0.6,0.9,0.1
,"15-24 years","15-24","Female","F","2000","2000",140,19105073,0.7,0.6,0.9,0.1
