Census_Region,Score,start_year,end_year
Midwest,111.94765962723645,2005,2009
Northeast,125.7711204003381,2005,2009
South,109.11288991516957,2005,2009
West,122.44573700180656,2005,2009
Midwest,111.90595555372519,2010,2014
Northeast,125.87209617618173,2010,2014
South,109.35310048264249,2010,2014
West,119.58040250433616,2010,2014
Midwest,112.4261617745324,2015,2019
Northeast,124.60635816587991,2015,2019
South,110.5326513920052,2015,2019
West,123.61320831293256,2015,2019
