Census_Division,Year,rate_health_care_coverage,rate_alochol_consum,socio_score,rate_health_care_coverage_pw,rate_alochol_consum_pw
East North Central,2005,86.685898781729,56.66724966797423,111.25366600949933,0.08668583999200329,0.05666721123667097
East North Central,2006,86.63605596365004,56.88665933202739,111.25366600949933,-0.04284119880362541,0.1883636667884023
East North Central,2007,87.11530700075076,57.49085955061046,111.25366600949933,0.4792735702703963,0.4854280830588495
East North Central,2008,87.06342144614794,56.74243663820752,111.25366600949933,-0.3206247150541209,-1.010232947386995
East North Central,2009,86.69018564206434,55.57850892593629,111.25366600949933,-0.18371725333667183,-0.5668507883790505
East North Central,2010,86.8329240960298,56.09305073601386,110.64836606635828,0.2513726873684679,0.8495899784244322
East North Central,2011,84.25926728551008,58.36025423536609,110.64836606635828,-2.7216454426549967,1.7597932182316212
East North Central,2012,84.81265100783727,56.56846750524473,110.64836606635828,2.1765702323505014,-2.8409884829215994
East North Central,2013,85.312203985642,55.79087076567971,110.64836606635828,-0.7994457713221208,0.9179439413851991
East North Central,2014,88.88493571197768,55.554570254485405,110.64836606635828,4.049824841869697,-0.784226334917558
East North Central,2015,90.67770872276095,56.198550014956965,111.475449856404,-0.6248168334173746,1.1121222113513287
East North Central,2016,91.4562000837385,57.043039758696416,111.475449856404,1.1514868321875538,0.18058024534987652
East North Central,2017,91.02945262145064,57.20989143031083,111.475449856404,-1.1141591593917584,0.05904901758548295
East North Central,2018,90.743436285675,55.30628725348361,111.475449856404,0.37911447829597805,-1.938854339710648
East North Central,2019,89.58069642914671,55.392025402691814,111.475449856404,-1.3890636652488135,1.2431966613192011
East South Central,2005,83.6572129441147,36.368794196697245,97.48647764709776,0.08365715961411063,0.03636877101222965
East South Central,2006,83.88913036164182,33.318033635209375,97.48647764709776,0.2053484088668618,-2.70185433146555
East South Central,2007,84.26894215151043,34.75612687072994,97.48647764709776,0.27210982621730484,2.8548600596430496
East South Central,2008,83.62083759986946,36.63155888966108,97.48647764709776,-0.8244883524986903,1.2075845280550652
East South Central,2009,83.68041782553415,33.395991127175854,97.48647764709776,0.36055862396867155,-4.10651446970509
East South Central,2010,82.66284539914103,34.87374227341327,98.91119651692284,-1.0452413585827571,2.980342048108298
East South Central,2011,80.54434840689383,40.54145630280663,98.91119651692284,-1.645938485631774,4.981449487722912
East South Central,2012,81.19124068222747,39.47806034749154,98.91119651692284,1.6307178478033109,-3.695470496826495
East South Central,2013,81.64481993094164,38.530961826638624,98.91119651692284,0.15316382899187886,-0.453259663243756
East South Central,2014,86.1319515725039,39.35096594131981,98.91119651692284,4.276490387097596,1.2598346869563528
East South Central,2015,87.49784481506062,40.2923368556648,100.1570907944848,-0.7179213071746062,0.5605627184844195
East South Central,2016,88.79096386156169,42.68365879606488,100.1570907944848,0.6588010813547669,1.954151256608199
East South Central,2017,86.92871263094534,43.90827477284952,100.1570907944848,-2.462773011317992,0.11409106899242971
East South Central,2018,88.21193232882156,42.443874473633855,100.1570907944848,2.148045274569654,-2.0331093976117245
East South Central,2019,86.69347395083516,42.71466986570475,100.1570907944848,-2.114382921890652,0.9508598283070668
Middle Atlantic,2005,87.0211928699415,57.03751773214606,124.05004989706958,0.08702111707058979,0.057037468049916655
Middle Atlantic,2006,87.27566661121746,56.504455788420024,124.05004989706958,0.19272530023801507,-0.40391981758292284
Middle Atlantic,2007,87.18957784574496,56.31779042053086,124.05004989706958,-0.2521760035645942,0.16124788053785902
Middle Atlantic,2008,87.67554586018743,55.057065521503695,124.05004989706958,0.5421555221090131,-1.1388941150475276
Middle Atlantic,2009,88.13801785525854,55.81341876805624,124.05004989706958,0.14529551580201883,1.5791898796570436
Middle Atlantic,2010,88.54742030918041,56.52699285591439,124.16601830596603,0.10756110881710867,0.21992542643234714
Middle Atlantic,2011,85.79409457360404,59.47949007737971,124.16601830596603,-3.0205302121673725,2.486769210241846
Middle Atlantic,2012,85.3605116106372,56.830096244768,124.16601830596603,1.3634286450769366,-4.576398585857696
