"Year","Locationabbr","Locationdesc","Class","Topic","Question","Response","Break_Out","Break_Out_Category","Sample_Size","Data_value","Confidence_limit_Low","Confidence_limit_High","Display_order","Data_value_unit","Data_value_type","Data_Value_Footnote_Symbol","Data_Value_Footnote","DataSource","ClassId","TopicId","LocationID","BreakoutID","BreakOutCategoryID","QuestionID","ResponseID","GeoLocation"
"2024","AZ","Arizona","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","Yes","Overall","Overall","3,783","50.5","48.5","52.5","1,169","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","04","BO1","CAT1","DRNKANY6","RESP046","    (34.865970280000454, -111.76381127699972)"
"2024","AZ","Arizona","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","No","Overall","Overall","3,977","49.5","47.5","51.5","1,170","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","04","BO1","CAT1","DRNKANY6","RESP054","    (34.865970280000454, -111.76381127699972)"
"2024","AZ","Arizona","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","Zero days when mental health not good","Overall","Overall","5,115","56.9","55.0","58.8","3,607","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","04","BO1","CAT1","_MENT14D","RESP222","    (34.865970280000454, -111.76381127699972)"
"2024","AZ","Arizona","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","1-13 days when mental health not good","Overall","Overall","2,192","28.9","27.1","30.6","3,608","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","04","BO1","CAT1","_MENT14D","RESP223","    (34.865970280000454, -111.76381127699972)"
"2024","AZ","Arizona","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","14+ days when mental health not good","Overall","Overall","1,146","14.2","12.9","15.5","3,609","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","04","BO1","CAT1","_MENT14D","RESP224","    (34.865970280000454, -111.76381127699972)"
"2024","CA","California","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","Yes","Overall","Overall","3,834","51.3","49.7","53.0","1,169","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","06","BO1","CAT1","DRNKANY6","RESP046","    (37.63864012300047, -120.99999953799971)"
"2024","CA","California","Alcohol Consumption","Alcohol Consumption","Adults who have had at least one drink of alcohol within the past 30 days","No","Overall","Overall","3,606","48.7","47.1","50.3","1,170","%","Crude Prevalence",,,"BRFSS","CLASS01","TOPIC03","06","BO1","CAT1","DRNKANY6","RESP054","    (37.63864012300047, -120.99999953799971)"
"2024","CA","California","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","Zero days when mental health not good","Overall","Overall","4,693","56.8","55.3","58.4","3,607","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","06","BO1","CAT1","_MENT14D","RESP222","    (37.63864012300047, -120.99999953799971)"
"2024","CA","California","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","1-13 days when mental health not good","Overall","Overall","2,286","28.3","26.9","29.7","3,608","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","06","BO1","CAT1","_MENT14D","RESP223","    (37.63864012300047, -120.99999953799971)"
"2024","CA","California","Days of Poor Health","Healthy Days","Days when mental health status not good (variable calculated from one or more BRFSS questions)","14+ days when mental health not good","Overall","Overall","1,224","14.9","13.8","15.9","3,609","%","Crude Prevalence",,,"BRFSS","CLASS20","TOPIC71","06","BO1","CAT1","_MENT14D","RESP224","    (37.63864012300047, -120.99999953799971)"
