Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Less than H.S.,Education Attained,45,NA,NA,NA,183,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic29,2,EDUCA1,CAT5,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Less than H.S.,Education Attained,118,NA,NA,NA,179,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic29,2,EDUCA1,CAT5,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Some post-H.S.,Education Attained,110,16.5,12.4,20.6,185,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,EDUCA3,CAT5,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Some post-H.S.,Education Attained,507,83.5,79.4,87.6,181,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,EDUCA3,CAT5,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"$15,000-$24,999",Household Income,113,36.2,28.1,44.3,193,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,INCOME2,CAT6,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"$15,000-$24,999",Household Income,196,63.8,55.7,71.9,188,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,INCOME2,CAT6,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"$25,000-$34,999",Household Income,61,22.3,15.7,28.9,194,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,INCOME3,CAT6,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"$25,000-$34,999",Household Income,208,77.7,71.1,84.3,189,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,INCOME3,CAT6,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"$35,000-$49,999",Household Income,66,16.5,11.3,21.7,195,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,INCOME4,CAT6,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"$35,000-$49,999",Household Income,310,83.5,78.3,88.7,190,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,INCOME4,CAT6,HLTHPLAN,RESP046,"(64.845079957001, -147.722059036)"
