year,census_region,sex,age5,population
2005,North Central,Male,0-4,2222790
2005,North Central,Male,10-14,2434432
2005,North Central,Male,15-19,2493753
2005,North Central,Male,20-24,2375404
2005,North Central,Male,25-29,2090857
2005,North Central,Male,30-34,2121433
2005,North Central,Male,35-39,2234944
2005,North Central,Male,40-44,2492262
2005,North Central,Male,45-49,2523598
2005,North Central,Male,5-9,2240102
2005,North Central,Male,50-54,2264091
2005,North Central,Male,55-59,1910728
2005,North Central,Male,60-64,1398879
2005,North Central,Male,65-69,1069927
2005,North Central,Male,70-74,864075
2005,North Central,Male,75-79,731722
2005,North Central,Male,80-84,502987
2005,North Central,Male,85+,343067
2005,Northeast,Female,0-4,1611894
2005,Northeast,Female,10-14,1837637
2005,Northeast,Female,15-19,1895949
2005,Northeast,Female,20-24,1758828
2005,Northeast,Female,25-29,1721581
2005,Northeast,Female,30-34,1760362
2005,Northeast,Female,35-39,2000330
2005,Northeast,Female,40-44,2211862
2005,Northeast,Female,45-49,2193903
2005,Northeast,Female,5-9,1645342
2005,Northeast,Female,50-54,1960801
2005,Northeast,Female,55-59,1747286
2005,Northeast,Female,60-64,1323622
2005,Northeast,Female,65-69,1047441
2005,Northeast,Female,70-74,941412
2005,Northeast,Female,75-79,904587
2005,Northeast,Female,80-84,750215
2005,Northeast,Female,85+,734381
2005,Northeast,Male,0-4,1684651
2005,Northeast,Male,10-14,1930761
2005,Northeast,Male,15-19,1990394
2005,Northeast,Male,20-24,1813981
2005,Northeast,Male,25-29,1699081
2005,Northeast,Male,30-34,1711804
2005,Northeast,Male,35-39,1931823
2005,Northeast,Male,40-44,2135952
2005,Northeast,Male,45-49,2102729
2005,Northeast,Male,5-9,1722005
2005,Northeast,Male,50-54,1856327
2005,Northeast,Male,55-59,1614048
2005,Northeast,Male,60-64,1182520
2005,Northeast,Male,65-69,893459
2005,Northeast,Male,70-74,741082
2005,Northeast,Male,75-79,637884
2005,Northeast,Male,80-84,446587
2005,Northeast,Male,85+,308709
2005,South,Female,0-4,3633475
2005,South,Female,10-14,3721995
2005,South,Female,15-19,3755168
2005,South,Female,20-24,3768141
2005,South,Female,25-29,3577385
2005,South,Female,30-34,3653293
2005,South,Female,35-39,3793434
2005,South,Female,40-44,4168623
2005,South,Female,45-49,4083357
2005,South,Female,5-9,3447955
2005,South,Female,50-54,3695502
2005,South,Female,55-59,3300345
2005,South,Female,60-64,2567915
2005,South,Female,65-69,2074316
2005,South,Female,70-74,1769318
2005,South,Female,75-79,1548626
2005,South,Female,80-84,1196346
2005,South,Female,85+,1072622
2005,South,Male,0-4,3792402
2005,South,Male,10-14,3898171
2005,South,Male,15-19,3973458
2005,South,Male,20-24,3932999
2005,South,Male,25-29,3569795
2005,South,Male,30-34,3631619
2005,South,Male,35-39,3745109
2005,South,Male,40-44,4051020
2005,South,Male,45-49,3939037
2005,South,Male,5-9,3604969
2005,South,Male,50-54,3482759
2005,South,Male,55-59,3075838
2005,South,Male,60-64,2331887
2005,South,Male,65-69,1818184
2005,South,Male,70-74,1451370
2005,South,Male,75-79,1136765
2005,South,Male,80-84,742423
2005,South,Male,85+,474150
2005,West,Female,0-4,2370075
2005,West,Female,10-14,2474405
2005,West,Female,15-19,2421921
2005,West,Female,20-24,2401653
2005,West,Female,25-29,2357893
2005,West,Female,30-34,2317895
2005,West,Female,35-39,2394518
2005,West,Female,40-44,2551165
2005,West,Female,45-49,2510598
2005,West,Female,5-9,2240432
2005,West,Female,50-54,2283309
2005,West,Female,55-59,1972307
2005,West,Female,60-64,1460341
2005,West,Female,65-69,1135226
2005,West,Female,70-74,953811
2005,West,Female,75-79,849762
2005,West,Female,80-84,687126
2005,West,Female,85+,625014
2005,West,Male,0-4,2475752
2005,West,Male,10-14,2600833
2005,West,Male,15-19,2593820
2005,West,Male,20-24,2614765
2005,West,Male,25-29,2462433
2005,West,Male,30-34,2423927
2005,West,Male,35-39,2475157
2005,West,Male,40-44,2573928
2005,West,Male,45-49,2494719
2005,West,Male,5-9,2348091
2005,West,Male,50-54,2218115
2005,West,Male,55-59,1894747
2005,West,Male,60-64,1364440
2005,West,Male,65-69,1027557
2005,West,Male,70-74,817474
2005,West,Male,75-79,657982
2005,West,Male,80-84,464617
2005,West,Male,85+,317918
2006,North Central,Female,0-4,2118313
2006,North Central,Female,10-14,2284426
2006,North Central,Female,15-19,2375295
2006,North Central,Female,20-24,2281862
2006,North Central,Female,25-29,2111494
2006,North Central,Female,30-34,2038897
2006,North Central,Female,35-39,2227299
2006,North Central,Female,40-44,2443519
2006,North Central,Female,45-49,2591216
2006,North Central,Female,5-9,2145727
2006,North Central,Female,50-54,2368058
2006,North Central,Female,55-59,2099400
2006,North Central,Female,60-64,1535222
2006,North Central,Female,65-69,1236962
2006,North Central,Female,70-74,1060451
2006,North Central,Female,75-79,987646
2006,North Central,Female,80-84,819678
2006,North Central,Female,85+,838144
2006,North Central,Male,0-4,2214897
2006,North Central,Male,10-14,2402981
2006,North Central,Male,15-19,2506899
2006,North Central,Male,20-24,2371628
2006,North Central,Male,25-29,2143493
2006,North Central,Male,30-34,2058291
2006,North Central,Male,35-39,2238564
2006,North Central,Male,40-44,2421488
2006,North Central,Male,45-49,2541737
2006,North Central,Male,5-9,2242216
2006,North Central,Male,50-54,2312725
2006,North Central,Male,55-59,2016951
2006,North Central,Male,60-64,1430429
2006,North Central,Male,65-69,1093592
2006,North Central,Male,70-74,868446
2006,North Central,Male,75-79,729931
2006,North Central,Male,80-84,511375
2006,North Central,Male,85+,359303
2006,Northeast,Female,0-4,1592547
2006,Northeast,Female,10-14,1804857
2006,Northeast,Female,15-19,1918439
2006,Northeast,Female,20-24,1778406
2006,Northeast,Female,25-29,1744733
2006,Northeast,Female,30-34,1698282
2006,Northeast,Female,35-39,1974652
2006,Northeast,Female,40-44,2166590
2006,Northeast,Female,45-49,2214265
2006,Northeast,Female,5-9,1631357
2006,Northeast,Female,50-54,1998116
2006,Northeast,Female,55-59,1818890
2006,Northeast,Female,60-64,1354479
2006,Northeast,Female,65-69,1059889
2006,Northeast,Female,70-74,926773
2006,Northeast,Female,75-79,887710
2006,Northeast,Female,80-84,748247
2006,Northeast,Female,85+,754794
2006,Northeast,Male,0-4,1665095
2006,Northeast,Male,10-14,1893954
2006,Northeast,Male,15-19,2014809
2006,Northeast,Male,20-24,1835195
2006,Northeast,Male,25-29,1720857
2006,Northeast,Male,30-34,1655234
2006,Northeast,Male,35-39,1905496
2006,Northeast,Male,40-44,2090480
2006,Northeast,Male,45-49,2122361
2006,Northeast,Male,5-9,1705824
2006,Northeast,Male,50-54,1895756
2006,Northeast,Male,55-59,1685213
2006,Northeast,Male,60-64,1212189
2006,Northeast,Male,65-69,905599
2006,Northeast,Male,70-74,734601
2006,Northeast,Male,75-79,632502
2006,Northeast,Male,80-84,449895
2006,Northeast,Male,85+,324573
2006,South,Female,0-4,3654673
2006,South,Female,10-14,3713018
2006,South,Female,15-19,3829111
2006,South,Female,20-24,3772372
2006,South,Female,25-29,3714081
2006,South,Female,30-34,3586250
2006,South,Female,35-39,3855089
2006,South,Female,40-44,4120335
2006,South,Female,45-49,4156301
2006,South,Female,5-9,3520699
2006,South,Female,50-54,3795460
2006,South,Female,55-59,3472723
