"","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"49",4154396.57,4268688.5,4333680.86,4439818.18,4492649.89,4556963.56,4601057.02,4629732.93,4540858.14,4527064.72,4498226.64,4390373.29,4203875.45,4117736.65,4078957.73,4211722.38,4326264.87,4376271.27,4113590.97,3963123.05,3879390.23
"50",3995697.23,4133446.39,4244428.13,4306112.65,4408406.8,4457339.11,4517516.55,4563041.91,4597896.97,4506630.48,4481534.89,4441737.86,4323304.1,4126164.66,4027882.4,3977448.64,4109820.78,4255468.43,4344780.01,4102502.08,3959892.96
"51",3883223.55,4006886.52,4151206.58,4268732.29,4336690.14,4445500.05,4498301.97,4546574.75,4572326.87,4606689.23,4529294.86,4518464.48,4493283.8,4389471.41,4205979.83,4121338.28,4079465.88,4184467.78,4268001.48,4330160.15,4095835.87
"52",3812116.83,3865256.44,3985997.47,4127194.23,4241516.13,4305889.14,4412173.18,4468866.28,4525127.53,4551966.68,4581554.2,4500571.67,4486029.84,4456850.15,4348645.39,4160580.63,4079953.19,4052335.04,4164728.33,4251656.12,4320202.71
"53",3737966.16,3813044.2,3869084.37,3992970.44,4137573.04,4255188.51,4320822.64,4419248.57,4463224.51,4515746.31,4545521.6,4578526.53,4501155.68,4489891.91,4463580.77,4358407.86,4179698.01,4098156.64,4046619.57,4146493.54,4239252.3
"54",3675927.31,3736772.46,3813935.54,3872027.97,3998298.23,4145286.44,4264666.79,4325154.99,4413543.57,4454518.41,4509441.01,4541695.04,4577547.72,4502967.48,4493980.78,4469794.83,4366180.07,4179789.44,4082747.76,4027301.58,4133127.6
"55",3601451.43,3646749.78,3702919.65,3774759.39,3827073.71,3946445.66,4088473.86,4214965.79,4290980.11,4381992.74,4414823.46,4461676.88,4486369.96,4513498.42,4431052.87,4413388.71,4382626.16,4291859.6,4137581.24,4060529.67,4012167.91
"56",3701916.35,3603614.83,3654096.27,3715121.13,3791386.26,3848040.97,3970172.21,4102540.81,4212157.18,4284555.53,4382012.11,4421964.66,4476456.55,4508280.92,4542576.78,4466589.04,4448366.51,4395167.9,4274183.4,4112105.74,4042751.62
"57",2901844.82,3680491.59,3581735.39,3630514.64,3689370.77,3762871.93,3818927.27,3944902.54,4083753.26,4196104.29,4267937.57,4365005.47,4405170.14,4459907.57,4491434.87,4524871.86,4445832.24,4420306.63,4362322.48,4244667.22,4090690.74
"58",2828119.52,2889775.49,3665888.55,3568288.26,3617622.73,3676722.24,3750005.38,3804480.48,3929255.03,4067869.05,4179697.54,4251456.73,4348734.07,4389162.02,4443705.98,4474795.9,4513106.26,4434027.38,4393062.79,4328510.43,4218624.29
"59",2775682.63,2808217.93,2868597.54,3637936.43,3539695.67,3586960.17,3646795.43,3725204.73,3785199.56,3911152.41,4048236.68,4158960.43,4229790.41,4325641.63,4364672.93,4417636.51,4441734.63,4469483.51,4390126.15,4355566.69,4298544.11
"60",2811281.24,2740923.42,2769641.42,2825390.28,3578133.24,3476189.74,3518243.89,3585318.07,3680963.8,3743683.08,3858040.05,3983810.04,4083377.84,4143096.2,4226599.99,4254185.27,4290389.7,4322701.33,4396475.73,4349245.56,4322346.37
"61",2533411.57,2810870.2,2746979.94,2782553.91,2845676.31,3612290.56,3513627.98,3542186.15,3586968.03,3679675.84,3753733.63,3879674.2,4017169.83,4128340.47,4199043.49,4293840.48,4315555.57,4308556.74,4292297.46,4352045.87,4312462.85
"62",2378118.28,2513946.82,2789746.04,2727456.29,2763552.69,2827074.85,3590536.71,3493061.95,3520407.6,3562802.99,3651793.96,3722571.61,3845000.71,3978649.82,4085617.78,4151887.22,4232060.47,4241643.82,4246157.66,4244984.07,4311368.64
"63",2270015.88,2361432.22,2497531.38,2773284.51,2713059.5,2750360.13,2814226.86,3572148.93,3472465.54,3499630.87,3542563.82,3631848.82,3703054.38,3825096.68,3957737.08,4063476.29,4112882.68,4167669.54,4178229.66,4195056.93,4201121.8
"64",2185023.66,2240584.72,2329271.28,2462208.26,2732481.79,2670365.46,2707540.47,2778978.4,3540442.96,3445782.39,3471779.79,3513933.09,3601256.34,3670082.99,3789137.96,3918541.97,4002030.67,4026306.9,4093281.13,4124145.97,4147962.64
"65",2112635.19,2164909.94,2221730.88,2311482.31,2444972.23,2714922.66,2653877.2,2687749.14,2753706.97,3502790.28,3404629.64,3426787.55,3464603.28,3546685.39,3609770.02,3722271.14,3824727.76,3887267.23,3940896.6,4036766.48,4074687.38
