,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
25,1.0829128079414,1.09399908485646,1.10164831652674,1.10864475884609,1.11923362394083,1.12905743987589,1.13428365059424,1.14572858601539,1.15040019088514,1.16172019067559,1.17599491650449,1.19055431352368,1.20220765502596,1.20660732843309,1.2268054318144,1.26241395923301,1.29429453480542,1.26372903723962
26,1.07972381550865,1.09044177884515,1.09788149437929,1.10475226616626,1.1149472996743,1.12433949234977,1.12945257250813,1.14042769755981,1.1450343593732,1.1559430972019,1.1696923680186,1.18383813933442,1.19539380860168,1.20023386979731,1.22002142330857,1.25442773233582,1.28541251987131,1.25619101651381
27,1.07664525107316,1.08700521596812,1.09423922710596,1.10098312298535,1.11079738905141,1.11977491123764,1.12477539539126,1.13529804555936,1.13983765681055,1.15034839280739,1.16358942287853,1.17733039069996,1.18877945468959,1.19402606821087,1.21340628803013,1.24664520913794,1.27675442040275,1.24882875580619
28,1.07366862766503,1.08367999312573,1.09071163457806,1.09732722044464,1.10677275089631,1.11535137565333,1.12023955961786,1.13032580722985,1.13479616232821,1.14492108506935,1.15766971517439,1.17101369032618,1.18234707825231,1.18796750558894,1.20694245958197,1.23904577586179,1.26829727726407,1.24162251018482
29,1.07077770608193,1.08044787134423,1.08727921766233,1.0937640631126,1.10285085647581,1.11104430070288,1.11581968355082,1.1254832906267,1.12988155889615,1.13963070764407,1.15190005136018,1.16485235721006,1.17605950057893,1.18202123137971,1.20058967562238,1.23158266011555,1.25998874001687,1.23452588878995
30,1.06795636360548,1.07729069696767,1.0839225056266,1.09027308027655,1.0990091058107,1.10682908630749,1.11149030824326,1.12074276569778,1.12506540746441,1.13444666879391,1.14624711362504,1.15881049129951,1.16987906707044,1.17614935735416,1.19430648289331,1.22420781578987,1.25177497317335,1.22749085046488
31,1.06519085775156,1.07419297835641,1.08062485646243,1.08683664187358,1.09522813510078,1.10268468375158,1.1072296217056,1.11608049608229,1.12032332583452,1.12934274353673,1.14068234593333,1.15285728186204,1.16377333184355,1.17031895883918,1.18805674765527,1.21687943488644,1.2436090919305,1.22047532607923
32,1.06246968917469,1.07114173838898,1.07737230816355,1.08343991721984,1.09149165979067,1.0985934154659,1.10301928167429,1.1114765391247,1.11563479605722,1.12429686558093,1.13518172556418,1.14696677415592,1.15771485010712,1.16450193465812,1.18180952699663,1.20956178252113,1.23545098589473,1.21344310924944
33,1.05978146960631,1.06812409301122,1.07415095411938,1.08006805912864,1.08778338541752,1.09453763764191,1.09884093683893,1.10691097527257,1.11097926447213,1.11928693443658,1.12972120139152,1.1411129214606,1.15167590078088,1.15866956040647,1.17553306866024,1.20221826834563,1.22725954138812,1.20635684346993
34,1.05710948874729,1.06512105630154,1.07094019492854,1.07669890806414,1.08407900975459,1.09049113239794,1.09466722180366,1.10235417181783,1.10632602761178,1.11427994472423,1.124264873408,1.13525671884055,1.14561463346037,1.15277794720361,1.16917870516486,1.19479290459487,1.21897179667311,1.19915905489708
35,1.05443893091208,1.06211575523179,1.0677216672707,1.07331261171326,1.0803567717065,1.08643048111259,1.09047363537689,1.09777964049759,1.10164756176287,1.10924631478638,1.11878057725924,1.12936313824694,1.13949321700698,1.14678691816462,1.16270169540545,1.18723434259637,1.21052994059457,1.19179658384849
36,1.05175898136016,1.05909584144027,1.06448188476933,1.06989450261659,1.07660060344352,1.08233844394963,1.08624208904379,1.09316786448388,1.09692351590259,1.10416417710424,1.11324454696651,1.12340622143306,1.13328337341686,1.14066590732591,1.15606778890385,1.17950341039676,1.20188979700826,1.18422836411619
37,1.04906274670077,1.05605341490427,1.06121217469924,1.066435062905,1.07280008818331,1.07820389511512,1.08196085851408,1.08850623170167,1.09214066840227,1.09901932994017,1.10764135852031,1.11736904516877,1.12696641781629,1.13439414714691,1.14925348517402,1.17157337826637,1.19302114130404,1.1764258133649
38,1.04634736693545,1.05298516637437,1.05790885342482,1.06293014806953,1.06895070181838,1.07402206304537,1.07762485483223,1.0837893132342,1.08729324300459,1.09380557506993,1.10196429317388,1.11124414418264,1.12053379442098,1.12796138458154,1.14224688202306,1.16343089993536,1.18390877781126,1.16837392350347
39,1.04361440295053,1.04989283543191,1.05457374788524,1.05938158885225,1.06505446860368,1.06979521388384,1.07323636157728,1.07901964391594,1.08238374968515,1.08852561943401,1.09621631344599,1.10503460441024,1.11398834472987,1.12136938817276,1.13504940880424,1.155077966929,1.17455475921472,1.16007340859287
40,1.04086889727255,1.04678215158399,1.05121305894814,1.05579599110342,1.06111864240963,1.06553121535136,1.06880354924039,1.07420610360989,1.0774213258361,1.08318929062582,1.09040811932952,1.09875197077607,1.10734212497577,1.11462979540614,1.12767349337995,1.14652918970054,1.16497534793089,1.15153804366681
41,1.03811891195786,1.04366231776485,1.04783681339738,1.05218416842515,1.05715508203246,1.06124284970548,1.06433977116231,1.06936314505937,1.0724209540697,1.07781269477163,1.08455722964056,1.09241526796676,1.10061541386904,1.10776319526108,1.1201415924437,1.13781065135131,1.15519974372714,1.14279360165242
42,1.03537521808185,1.04054566557836,1.04445850150345,1.04856077305784,1.05317984407431,1.0569473622497,1.05986310450473,1.06451028769392,1.06740295444941,1.07241766949471,1.07868738450254,1.08605036889905,1.09383608958558,1.10079858988749,1.11248563914568,1.12895924341865,1.14526935237162,1.13387727785007
43,1.03265287761938,1.037449479567,1.04109709306939,1.04494652509559,1.0492156212519,1.05266905661254,1.05539909423003,1.05967506290822,1.06239608331905,1.06703511177666,1.07283215814685,1.07969396791426,1.08704402985316,1.0937782573122,1.10475252045091,1.12002891282815,1.13524484040972,1.12484429559597
44,1.02997539348826,1.03440077580679,1.03778230806255,1.04137402266628,1.04529809946205,1.04844607126858,1.0509879075924,1.05490070099707,1.0574456070128,1.0617136493714,1.06704437485032,1.07340392151724,1.08030252008711,1.0867702715777,1.09701814794208,1.1111067299585,1.12522426998444,1.11578482160462
45,1.02736610573115,1.0314264527281,1.03454383425468,1.03787599498969,1.04146309015722,1.04431658264009,1.04666984855008,1.0502305079078,1.05259700220274,1.05650212676006,1.06137707498909,1.06723845866112,1.07367566012027,1.07984439437104,1.0893606159766,1.10228207612384,1.11530841087854,1.1067921263697
46,1.02484559273057,1.02855030433786,1.03140804115307,1.034481695033,1.03774258177481,1.04031458717568,1.04248091345772,1.04570308360244,1.04789094588254,1.05144422336311,1.05587766934684,1.06124977394123,1.06722133766823,1.0730644566677,1.0818516769379,1.09363688493387,1.10558973963903,1.09795240210645
47,1.02243146070698,1.02579276808785,1.02839768864184,1.03121655650173,1.03416436673547,1.03646951621047,1.03845237186768,1.04135188089972,1.04336283513291,1.04657793892321,1.05058738276934,1.05548339950831,1.06099048640811,1.06648745645128,1.07455569807447,1.08524446937882,1.09615110570433,1.08934346246035
48,1.02013991396912,1.02317272070016,1.02553389086014,1.02810433055552,1.03075438227032,1.03280874741837,1.03461340176014,1.03720804881398,1.0390457515559,1.04193877893033,1.04554471630052,1.04998198479154,1.05503119024802,1.0601679398266,1.06753454263827,1.07717512273255,1.08707203794214,1.0810405408133
49,1.01798934586379,1.02071160742306,1.02284066304672,1.02517208560849,1.02754218214325,1.02936344471785,1.0309972479733,1.03330705459347,1.03497740683726,1.03756721504038,1.04079354955642,1.04479418486454,1.04939846113468,1.05416868197169,1.06085955743446,1.0695098178704,1.07844420040828,1.07313067575811
50,1.01599311763683,1.01842513097624,1.02033576037347,1.02244011895528,1.02454989750867,1.02615678452578,1.02762879801355,1.02967533026404,1.0311861260518,1.03349363008746,1.03636679182246,1.03995671513754,1.04413447179688,1.04853906374953,1.05458730030924,1.06231247075351,1.07034009835341,1.0656835840094
51,1.01415836766935,1.01632186028959,1.01802911540868,1.01992018666777,1.02179030529232,1.0232019240673,1.02452240944755,1.02632795866485,1.0276883799362,1.02973567028403,1.03228351239544,1.03549116139297,1.03926492216983,1.04331086086998,1.04875472788044,1.05562449579318,1.06280690550022,1.05874574173449
52,1.0124869918853,1.01440433846213,1.01592403087202,1.01761676827746,1.01926821730685,1.02050351104984,1.02168347465559,1.02327037612457,1.0244905337592,1.02630012633441,1.02855098901638,1.0314061885745,1.03480135371955,1.03850054046535,1.04338168799206,1.0494677083907,1.05586970912437,1.0523432314291
53,1.01097699361425,1.01267062149555,1.01401885493106,1.01552887587541,1.0169824636997,1.01805981972029,1.01911065412748,1.02050078811756,1.02159135479433,1.02318562863018,1.02516763885395,1.02770072880535,1.03074457352076,1.03411283194871,1.03847486412986,1.04384887295873,1.0495366191629,1.04648636714464
54,1.00962415260461,1.01111619162712,1.01230907958053,1.0136523465052,1.01492840337155,1.01586543893788,1.0167987023652,1.01801321440594,1.0189851942234,1.02038606587395,1.02212673307962,1.02436804365722,1.02708908372547,1.03014548188198,1.03403307966093,1.03876578525218,1.04380561912518,1.04117600352783
55,1.00842135005432,1.00973316895658,1.01078645529074,1.01197883868832,1.0130968290298,1.01391012086087,1.01473723635325,1.01579617767071,1.01666058801844,1.0178890839198,1.01941477003377,1.02139391485191,1.0238210164101,1.02658684579545,1.03004453840618,1.03420415503793,1.03866102935054,1.0364001277065
56,1.00735915064697,1.00851097379537,1.00943971036988,1.01049660572052,1.01147481542247,1.01217969655902,1.01291169074671,1.01383373828078,1.01460132809476,1.01567723733588,1.01701272798403,1.01875800362443,1.02091958258412,1.02341737206841,1.02648845180208,1.03013949009399,1.03407561922741,1.03213574523685
57,1.0064266854354,1.00743733974951,1.00825566321714,1.00919171243297,1.0100470516649,1.01065750169612,1.01130481758986,1.01210710968537,1.01278815144979,1.01372980413051,1.01489803678715,1.01643600802664,1.01835942679255,1.02061212999391,1.02333785791688,1.02654032957547,1.03001424872168,1.02835222984781
58,1.00561175397021,1.00649842660874,1.00721934000417,1.00804815260651,1.00879597106585,1.00932452208209,1.00989683277636,1.01059482111345,1.0111989011602,1.01202295937368,1.01304476789059,1.0143998611147,1.01611081276284,1.01814094132516,1.02055974089096,1.02336839861089,1.02643403295332,1.02501141692324
59,1.00490015933388,1.00567804481326,1.00631310516491,1.00704686540729,1.00770067772834,1.00815826396641,1.00866420870789,1.00927143119564,1.00980715529437,1.01052830402583,1.01142203981306,1.01261595880135,1.01413760303152,1.01596602351431,1.01811232834689,1.02057555661035,1.02328087918031,1.02206426019632
60,1.00427879797027,1.00496123059358,1.00552062886637,1.00617015040549,1.00674177268567,1.00713787477359,1.0075851046724,1.00811334476487,1.00858836894728,1.00921945938726,1.01000117400213,1.01105305219332,1.01240606680862,1.01405185664241,1.01595625352894,1.01811649727802,1.02050384579476,1.0194643741898
61,1.00373622791076,1.00433490925348,1.00482763113937,1.00540250931811,1.00590227257244,1.00624511004955,1.00664040016013,1.00709991390591,1.00752104753729,1.00807332607273,1.00875705942703,1.00968376361336,1.01088660456208,1.01236717927428,1.01405683586359,1.01595132903765,1.01805806770092,1.0171708391412
62,1.00326245807774,1.00378765668748,1.00422162456161,1.00473037203538,1.00516730882866,1.00546400725259,1.0058133560697,1.00621306981673,1.00658636772656,1.00706967633771,1.00766770879021,1.00848410702124,1.00955324203226,1.01088447790882,1.01238352312074,1.01404492789983,1.01590403148538,1.01514755696422
63,1.0028487643054,1.00330949100508,1.00369168924151,1.00414185673279,1.00452386435953,1.00478060034483,1.00508931811008,1.00543700065369,1.00576784545164,1.00619079708533,1.00671386994474,1.00743306784653,1.00838318621812,1.00957953763911,1.01090939997949,1.01236636767043,1.01400693704759,1.0133626830988
64,1.00248752868983,1.00289169046099,1.003228276048,1.00362655982798,1.00396054298708,1.00418267008085,1.00445545714301,1.00475786961682,1.00505104520961,1.00542117725352,1.0058786856502,1.00651223487314,1.0073564357451,1.0084310466839,1.00961075509385,1.01088841825681,1.01233613537771,1.01178812530765
65,1.00217209931021,1.00252663437047,1.00282303454063,1.00317537206968,1.00346736761005,1.00365952552887,1.0039005418651,1.00416356824885,1.00442332547282,1.00474723406518,1.00514739565382,1.00570547772717,1.00645543895408,1.0074202483318,1.00846669969454,1.00958710393342,1.01086463339846,1.01039910153083
